candidate,a4_nmse_mean,a4_nmse_median,a4_nmse_p90,a4_nmse_pooled,sqnr_db,exact_zero_ratio,zero_code_ratio,sat_ratio,code_entropy_marginal_bits,code_entropy_per_token_bits,unique_codes_per_token,scale_median,scale_p99
R1D_DeltaR,0.018720781430602074,0.01842634193599224,0.02169830594211817,0.018720779401110475,17.27676074264836,0.18518170714378357,0.18518170714378357,0.0012916565174236894,3.1912217140197754,3.1400222778320312,15.879751205444336,0.47023504972457886,0.5529439026117325
R1DC,0.023201510310173035,0.022560810670256615,0.02881731446832419,0.023201510285345634,16.34483744107234,0.20827887952327728,0.20827887952327728,0.000997741735773161,3.0835838317871094,2.993621349334717,15.543126106262207,0.5201725363731384,0.6507013779878618
none,0.4823912978172302,0.509296178817749,0.5450289249420166,0.4823913761172569,3.1660046483591047,0.9520450234413147,0.9520450234413147,0.0005089722108095884,1.5108197927474976,0.3054368495941162,7.66925048828125,3.319791793823242,4.077083587646484
R1_D,0.06888648122549057,0.06795036792755127,0.10056658238172532,0.06888645561917457,11.618661602127835,0.3487592041492462,0.3487592041492462,0.0005319519550539553,2.5403010845184326,2.26662278175354,11.315000534057617,0.9029108285903931,1.2231272041797638
R1_T_currentRC,0.017867285758256912,0.017622629180550575,0.020615085028111935,0.017867286960179606,17.47941387487325,0.18015781044960022,0.18015781044960022,0.0013748474884778261,3.2208425998687744,3.1721510887145996,15.904500961303711,0.4598139822483063,0.5342964959144593
Hadamard,0.01771244779229164,0.0174823310226202,0.020517795346677303,0.01771244939419519,17.51721377554825,0.17865167558193207,0.17865167558193207,0.0013966065016575158,3.226940155029297,3.178288698196411,15.902750968933105,0.45810338854789734,0.5361141449213028
Random_s101,0.019336771219968796,0.019015250727534294,0.022526715137064456,0.019336773276839157,17.136159948330693,0.18991076946258545,0.18991076946258545,0.0012859192211180925,3.1736865043640137,3.117344856262207,15.873126029968262,0.47767162322998047,0.5726232075691223
Random_s102,0.01979839615523815,0.01950671896338463,0.023114857077598576,0.019798397704100162,17.033699560225813,0.1921175867319107,0.1921175867319107,0.0012522583710961044,3.1636362075805664,3.100396156311035,15.84225082397461,0.4840533137321472,0.5666320157051087
Random_s103,0.019573481753468513,0.01928909868001938,0.02281363792717457,0.019573481108692083,17.083319289740835,0.19087626039981842,0.19087626039981842,0.001254699775017798,3.163933038711548,3.1086907386779785,15.865375518798828,0.4811306893825531,0.5628315544128418
Random_s1234,0.01992613449692726,0.01954783871769905,0.02351275496184826,0.019926136734702598,17.00576893845178,0.19267764687538147,0.19267764687538147,0.001224334817379713,3.156222343444824,3.0967674255371094,15.8410005569458,0.48436862230300903,0.5801323056221008
RC_L0_learned,0.054131895303726196,0.047496967017650604,0.096553735435009,0.05413186999847168,12.665469698424388,0.3044564127922058,0.3044564127922058,0.0008063354762271047,3.1307034492492676,2.4901015758514404,12.660000801086426,0.7556396722793579,1.2658048832416535
R_combo_c7b,0.019701803103089333,0.019403725862503052,0.022892832010984424,0.019701804493178737,17.054939948769718,0.19180716574192047,0.19180716574192047,0.0012608643155544996,3.160764694213867,3.1042139530181885,15.85787582397461,0.4824724793434143,0.565573970079422
