family,comparison,a_tau,b_tau,delta,ci_lo,ci_hi,p,n_pairs
primary,gsm8kvalid:P1_noneVsR1D,2.016593152699013,3.1582236842105265,1.1416305315115136,1.0618953881159459,1.2273779856997233,0.0003333333333333333,60
primary,gsm8kvalid:P2_r1dVsR1T,3.1582236842105265,3.213186077643909,0.054962393433382495,0.01716593100688325,0.09353041907989769,0.004666666666666667,60
primary,gsm8kvalid:P3_r1dVsHad,3.1582236842105265,3.1950083194675543,0.0367846352570278,-0.018589841476001442,0.09636716425200437,0.19466666666666665,60
primary,gsm8kvalid:P4_r1dVsRnd101,3.1582236842105265,3.1928832723644827,0.0346595881539562,-0.011488351210788892,0.08188101937446193,0.146,60
primary,gsm8kvalid:P5_r1dVsCombo,3.1582236842105265,3.201400466822274,0.04317678261174773,-0.0010920624025067102,0.09106950260028615,0.062,60
primary2,gsm8kvalid:P6_r1dVsResid,3.1582236842105265,3.2024683122081385,0.044244627997612085,0.0031894477875886395,0.0869440079272915,0.034,60
primary2,gsm8kvalid:P7_bestVsP2,3.213186077643909,3.407026259758694,0.19384018211478526,0.13771721902075,0.24919731946585524,0.0003333333333333333,60
primary2,gsm8kvalid:P8_ptqVsQat,3.407026259758694,3.6689576174112255,0.2619313576525313,0.19173853865794838,0.331730212506874,0.0003333333333333333,60
secondary,gsm8kvalid:S_c8VsR1T,3.2024683122081385,3.213186077643909,0.01071776543577041,-0.03396406372991097,0.05444201197545396,0.6833333333333333,60
secondary,gsm8kvalid:S_c9VsR1D,3.1582236842105265,3.3371567605144246,0.1789330763038981,0.12312808446817083,0.23845697981844,0.0003333333333333333,60
secondary,gsm8kvalid:S_c9VsR1T,3.3371567605144246,3.213186077643909,-0.1239706828705156,-0.17604330489678766,-0.07238916959699562,0.0003333333333333333,60
secondary,gsm8kvalid:S_c9l03VsR1T,3.3164075993091537,3.213186077643909,-0.10322152166524479,-0.15770076087645532,-0.052945599726586,0.0006666666666666666,60
secondary,gsm8kvalid:S_hadVsR1T,3.1950083194675543,3.213186077643909,0.018177758176354697,-0.041145591162948636,0.07368297559582065,0.5433333333333333,60
secondary,gsm8kvalid:S_learnedVsR1T,3.225058784010749,3.213186077643909,-0.011872706366840013,-0.06060108114923678,0.035479067405407905,0.6153333333333333,60
secondary,gsm8kvalid:S_qatR1dVsQatRt,3.5783401563081503,3.6689576174112255,0.09061746110307523,0.03837194986744929,0.14428632352920534,0.002,60
secondary,gsm8kvalid:S_r1dP2VsQat,3.351483420593368,3.5783401563081503,0.22685673571478215,0.17219616432778329,0.2840676644177141,0.0003333333333333333,60
secondary,gsm8kvalid:S_r1dP2VsRtP2,3.351483420593368,3.407026259758694,0.0555428391653261,0.0012887688820160455,0.11298684090015898,0.04466666666666667,60
secondary,gsm8kvalid:S_r1dVsLearned,3.1582236842105265,3.225058784010749,0.06683509980022251,0.01841331869558761,0.11795191560330284,0.008,60
secondary,gsm8kvalid:S_r1dVsR1dP2,3.1582236842105265,3.351483420593368,0.19325973638284166,0.14047042899657994,0.24575184311654172,0.0003333333333333333,60
secondary,gsm8kvalid:S_r1dVsRnd102,3.1582236842105265,3.1833554376657824,0.02513175345525598,-0.025004168867121902,0.0781123106529806,0.332,60
secondary,gsm8kvalid:S_r1dVsRnd103,3.1582236842105265,3.2024683122081385,0.044244627997612085,-0.010013863970277748,0.0998921158105877,0.11533333333333333,60
secondary,gsm8kvalid:S_r1dVsRnd1234,3.1582236842105265,3.178086726249586,0.019863042039059753,-0.026559819252792216,0.06932729727279029,0.39866666666666667,60
secondary,gsm8kvalid:S_r1tVsCombo,3.213186077643909,3.201400466822274,-0.011785610821634762,-0.05712447031864437,0.0325231042641358,0.6373333333333333,60
secondary,gsm8kvalid:S_repro_C0_vs_priorVM3,2.016593152699013,2.016593152699013,0.0,0.0,0.0,2.0,60
secondary,gsm8kvalid:S_repro_C2_vs_priorM5rc,3.213186077643909,3.213186077643909,0.0,0.0,0.0,2.0,60
secondary,gsm8kvalid:S_rnd101VsR1T,3.1928832723644827,3.213186077643909,0.020302805279426295,-0.02489475204070829,0.06611430983313049,0.38866666666666666,60
