op,S,us_per_forward,us_per_token,MMAC_per_token,mem_read_MB,mem_write_MB
Ht@R_dense_fp32,1,73.94815921783447,73.94815921783447,16.777216,67.125248,0.016384
Ht@R_dense_bf16,1,33.556320667266846,33.556320667266846,16.777216,33.562624,0.008192
Ht_fast_hadamard_bf16,1,11.06943964958191,11.06943964958191,0.0,0.008192,0.008192
Ht@R_dense_fp32,8,35.81952095031738,4.477440118789673,16.777216,67.239936,0.131072
Ht@R_dense_bf16,8,22.113280296325684,2.7641600370407104,16.777216,33.619968,0.065536
Ht_fast_hadamard_bf16,8,10.97216010093689,1.3715200126171112,0.0,0.065536,0.065536
Ht@R_dense_fp32,32,33.10463905334473,1.0345199704170227,16.777216,67.633152,0.524288
Ht@R_dense_bf16,32,18.662400245666504,0.5832000076770782,16.777216,33.816576,0.262144
Ht_fast_hadamard_bf16,32,11.054079532623291,0.34543998539447784,0.0,0.262144,0.262144
Ht@R_dense_fp32,128,109.4092845916748,0.8547600358724594,16.777216,69.206016,2.097152
Ht@R_dense_bf16,128,34.88255977630615,0.2725199982523918,16.777216,34.603008,1.048576
Ht_fast_hadamard_bf16,128,10.915839672088623,0.08527999743819237,0.0,1.048576,1.048576
Ht@R_dense_fp32,512,341.4886474609375,0.6669700145721436,16.777216,75.497472,8.388608
Ht@R_dense_bf16,512,120.99056243896484,0.2363096922636032,16.777216,37.748736,4.194304
Ht_fast_hadamard_bf16,512,14.392319917678833,0.02810999983921647,0.0,4.194304,4.194304
