A,B,fro_over_sqrtd,trace_align,allclose_1e-6
R1_T,R1_D,1.4142911506021654,-0.00010969454429087935,False
R1_T,RC_current,0.0,1.0000000601466135,True
R1_T,Hadamard,1.4128675626591514,0.0019026552665855345,False
R1_T,Random_fidi,1.4144471739388167,-0.00033037384345913523,False
R1_T,RC1_reuseRT,1.4207405000304707,-0.00925172410260525,False
R1_T,RC_L0,1.4141378394361936,0.00010710935683795185,False
R1_T,Random_s101,1.4140180489665977,0.0002765086717217999,False
R1_T,Random_s102,1.4141532637527938,8.530338195215294e-05,False
R1_T,Random_s103,1.4144129483807706,-0.0002819642002870391,False
R1_T,R_combo,1.2585347843149728,0.2080451631991211,False
R1_D,RC_current,1.4142911506021654,-0.00010969454429087935,False
R1_D,Hadamard,1.414267225652884,-7.588805964991156e-05,False
R1_D,Random_fidi,1.4141959339017482,2.4935000631977473e-05,False
R1_D,RC1_reuseRT,1.414213497846761,1.2600930746303493e-07,False
R1_D,RC_L0,1.331611171428881,0.11340584252683139,False
R1_D,Random_s101,1.414260529705661,-6.64182237389918e-05,False
R1_D,Random_s102,1.4144536974443889,-0.00033962638912177966,False
R1_D,Random_s103,1.414122558519992,0.00012869946036197187,False
R1_D,R_combo,1.414534543080631,-0.0004539472750398776,False
RC_current,Hadamard,1.4128675626591514,0.0019026552665855345,False
RC_current,Random_fidi,1.4144471739388167,-0.00033037384345913523,False
RC_current,RC1_reuseRT,1.4207405000304707,-0.00925172410260525,False
RC_current,RC_L0,1.4141378394361936,0.00010710935683795185,False
RC_current,Random_s101,1.4140180489665977,0.0002765086717217999,False
RC_current,Random_s102,1.4141532637527938,8.530338195215294e-05,False
RC_current,Random_s103,1.4144129483807706,-0.0002819642002870391,False
RC_current,R_combo,1.2585347843149728,0.2080451631991211,False
Hadamard,Random_fidi,1.4142780873738092,-9.12541977947878e-05,False
Hadamard,RC1_reuseRT,1.4344391479532772,-0.02880780455296872,False
Hadamard,RC_L0,1.4144517046831389,-0.00033681869438190084,False
Hadamard,Random_s101,1.414258107244343,-6.299695316250418e-05,False
Hadamard,Random_s102,1.4142804254359564,-9.456088561982929e-05,False
Hadamard,Random_s103,1.4142706801667284,-8.077838961894546e-05,False
Hadamard,R_combo,1.4137741564527104,0.000621352064470237,False
Random_fidi,RC1_reuseRT,1.4141958324536672,2.51037873690098e-05,False
Random_fidi,RC_L0,1.41399692911441,0.00030633598821982116,False
Random_fidi,Random_s101,1.4142126283473568,1.3209261298905016e-06,False
Random_fidi,Random_s102,1.414473255213585,-0.0003672948425701818,False
Random_fidi,Random_s103,1.4145077383212863,-0.00041607087073654146,False
Random_fidi,R_combo,1.4142169693828037,-4.783439225732373e-06,False
RC1_reuseRT,RC_L0,1.414143458770571,9.916279132993959e-05,False
RC1_reuseRT,Random_s101,1.4142021107588232,1.62249996891291e-05,False
RC1_reuseRT,Random_s102,1.4142328618445188,-2.7263723433528245e-05,False
RC1_reuseRT,Random_s103,1.4145498761235107,-0.00047564598345414545,False
RC1_reuseRT,R_combo,1.4157544530274642,-0.0021802708053317407,False
RC_L0,Random_s101,1.4139993822726098,0.000302867212202257,False
RC_L0,Random_s102,1.4141520945922557,8.692042601524257e-05,False
RC_L0,Random_s103,1.4144617997465512,-0.0003510977252961176,False
RC_L0,R_combo,1.4142118976699818,2.382781420132349e-06,False
Random_s101,Random_s102,1.4140743193700618,0.00019690964904637895,False
Random_s101,Random_s103,1.4143110469145406,-0.00013786871226593916,False
Random_s101,R_combo,1.4140028903611654,0.00029794781633545476,False
Random_s102,Random_s103,1.414053719105473,0.0002260397419913419,False
Random_s102,R_combo,1.41424356015865,-4.2388933882013064e-05,False
Random_s103,R_combo,1.4141226358030947,0.00012862024591306042,False
