cell,prompt_id,mean_acceptance,acceptance_list,accepted_depths,first_rejection_depths,n_new_tokens,n_cycles,tree_size,exact_match,first_mismatch
T8_D16,81,3.2,"[3, 6, 1, 4, 6, 5, 5, 4, 4, 3, 2, 4, 4, 1, 3, 4, 2, 2, 3, 1, 3, 3, 3, 4, 2, 1, 5, 4, 4, 6, 1, 2, 4, 3, 3, 4, 3, 2, 2, 2]","[2, 5, 0, 3, 5, 4, 4, 3, 3, 2, 1, 3, 3, 0, 2, 3, 1, 1, 2, 0, 2, 2, 2, 3, 1, 0, 4, 3, 3, 5, 0, 1, 3, 2, 2, 3, 2, 1, 1, 1]","[3, 5, 1, 4, 5, 5, 5, 4, 4, 3, 2, 4, 4, 1, 3, 4, 2, 2, 3, 1, 3, 3, 3, 4, 2, 1, 5, 4, 4, 5, 1, 2, 4, 3, 3, 4, 3, 2, 2, 2]",128,40,26,False,20
T8_D16,82,4.1613,"[4, 4, 3, 4, 4, 4, 6, 6, 6, 2, 5, 6, 4, 2, 3, 3, 4, 4, 6, 4, 5, 4, 4, 4, 4, 3, 4, 5, 4, 4, 4]","[3, 3, 2, 3, 3, 3, 5, 5, 5, 1, 4, 5, 3, 1, 2, 2, 3, 3, 5, 3, 4, 3, 3, 3, 3, 2, 3, 4, 3, 3, 3]","[4, 4, 3, 4, 4, 4, 5, 5, 5, 2, 5, 5, 4, 2, 3, 3, 4, 4, 5, 4, 5, 4, 4, 4, 4, 3, 4, 5, 4, 4, 4]",128,31,26,False,101
T8_D16,83,3.6111,"[6, 4, 4, 6, 6, 3, 4, 3, 4, 6, 4, 4, 4, 6, 2, 3, 3, 3, 2, 3, 4, 2, 4, 3, 1, 4, 4, 3, 1, 3, 3, 5, 6, 2, 2, 3]","[5, 3, 3, 5, 5, 2, 3, 2, 3, 5, 3, 3, 3, 5, 1, 2, 2, 2, 1, 2, 3, 1, 3, 2, 0, 3, 3, 2, 0, 2, 2, 4, 5, 1, 1, 2]","[5, 4, 4, 5, 5, 3, 4, 3, 4, 5, 4, 4, 4, 5, 2, 3, 3, 3, 2, 3, 4, 2, 4, 3, 1, 4, 4, 3, 1, 3, 3, 5, 5, 2, 2, 3]",128,36,26,True,-1
T8_D16,84,3.5135,"[4, 2, 3, 4, 3, 6, 2, 2, 6, 5, 4, 2, 3, 2, 2, 4, 2, 4, 1, 4, 4, 3, 2, 4, 4, 3, 6, 5, 1, 4, 4, 6, 3, 4, 4, 4, 4]","[3, 1, 2, 3, 2, 5, 1, 1, 5, 4, 3, 1, 2, 1, 1, 3, 1, 3, 0, 3, 3, 2, 1, 3, 3, 2, 5, 4, 0, 3, 3, 5, 2, 3, 3, 3, 3]","[4, 2, 3, 4, 3, 5, 2, 2, 5, 5, 4, 2, 3, 2, 2, 4, 2, 4, 1, 4, 4, 3, 2, 4, 4, 3, 5, 5, 1, 4, 4, 5, 3, 4, 4, 4, 4]",128,37,26,True,-1
T8_D16,85,2.8043,"[1, 5, 3, 2, 3, 3, 4, 4, 1, 1, 5, 3, 4, 2, 3, 3, 1, 3, 2, 1, 2, 3, 2, 2, 4, 4, 4, 5, 2, 2, 4, 2, 4, 1, 1, 6, 4, 3, 1, 2, 3, 3, 2, 2, 2, 5]","[0, 4, 2, 1, 2, 2, 3, 3, 0, 0, 4, 2, 3, 1, 2, 2, 0, 2, 1, 0, 1, 2, 1, 1, 3, 3, 3, 4, 1, 1, 3, 1, 3, 0, 0, 5, 3, 2, 0, 1, 2, 2, 1, 1, 1, 4]","[1, 5, 3, 2, 3, 3, 4, 4, 1, 1, 5, 3, 4, 2, 3, 3, 1, 3, 2, 1, 2, 3, 2, 2, 4, 4, 4, 5, 2, 2, 4, 2, 4, 1, 1, 5, 4, 3, 1, 2, 3, 3, 2, 2, 2, 5]",128,46,26,True,-1
T8_D16,86,2.7234,"[3, 4, 6, 6, 3, 4, 1, 4, 1, 2, 3, 3, 1, 2, 4, 3, 2, 1, 4, 3, 2, 1, 2, 3, 3, 1, 1, 3, 1, 1, 3, 2, 4, 2, 5, 4, 4, 3, 2, 4, 2, 5, 2, 2, 2, 3, 1]","[2, 3, 5, 5, 2, 3, 0, 3, 0, 1, 2, 2, 0, 1, 3, 2, 1, 0, 3, 2, 1, 0, 1, 2, 2, 0, 0, 2, 0, 0, 2, 1, 3, 1, 4, 3, 3, 2, 1, 3, 1, 4, 1, 1, 1, 2, 0]","[3, 4, 5, 5, 3, 4, 1, 4, 1, 2, 3, 3, 1, 2, 4, 3, 2, 1, 4, 3, 2, 1, 2, 3, 3, 1, 1, 3, 1, 1, 3, 2, 4, 2, 5, 4, 4, 3, 2, 4, 2, 5, 2, 2, 2, 3, 1]",128,47,26,False,41
T8_D16,87,3.0476,"[3, 4, 5, 3, 5, 6, 3, 4, 6, 3, 3, 2, 3, 5, 1, 1, 2, 2, 3, 4, 2, 6, 1, 1, 4, 2, 4, 3, 5, 2, 3, 2, 3, 2, 2, 4, 3, 2, 2, 4, 1, 2]","[2, 3, 4, 2, 4, 5, 2, 3, 5, 2, 2, 1, 2, 4, 0, 0, 1, 1, 2, 3, 1, 5, 0, 0, 3, 1, 3, 2, 4, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 3, 0, 1]","[3, 4, 5, 3, 5, 5, 3, 4, 5, 3, 3, 2, 3, 5, 1, 1, 2, 2, 3, 4, 2, 5, 1, 1, 4, 2, 4, 3, 5, 2, 3, 2, 3, 2, 2, 4, 3, 2, 2, 4, 1, 2]",128,42,26,False,60
T8_D16,88,2.9767,"[1, 3, 3, 2, 4, 4, 3, 2, 2, 4, 5, 4, 3, 3, 4, 3, 1, 4, 2, 4, 3, 2, 3, 2, 3, 2, 1, 1, 4, 4, 2, 4, 2, 5, 1, 5, 4, 3, 4, 2, 4, 3, 3]","[0, 2, 2, 1, 3, 3, 2, 1, 1, 3, 4, 3, 2, 2, 3, 2, 0, 3, 1, 3, 2, 1, 2, 1, 2, 1, 0, 0, 3, 3, 1, 3, 1, 4, 0, 4, 3, 2, 3, 1, 3, 2, 2]","[1, 3, 3, 2, 4, 4, 3, 2, 2, 4, 5, 4, 3, 3, 4, 3, 1, 4, 2, 4, 3, 2, 3, 2, 3, 2, 1, 1, 4, 4, 2, 4, 2, 5, 1, 5, 4, 3, 4, 2, 4, 3, 3]",128,43,26,True,-1
T8_D16,89,3.6857,"[3, 3, 6, 4, 3, 2, 6, 3, 5, 5, 4, 3, 6, 5, 6, 2, 3, 5, 1, 4, 1, 2, 4, 1, 4, 5, 2, 4, 2, 4, 3, 4, 6, 4, 4]","[2, 2, 5, 3, 2, 1, 5, 2, 4, 4, 3, 2, 5, 4, 5, 1, 2, 4, 0, 3, 0, 1, 3, 0, 3, 4, 1, 3, 1, 3, 2, 3, 5, 3, 3]","[3, 3, 5, 4, 3, 2, 5, 3, 5, 5, 4, 3, 5, 5, 5, 2, 3, 5, 1, 4, 1, 2, 4, 1, 4, 5, 2, 4, 2, 4, 3, 4, 5, 4, 4]",128,35,26,False,13
T8_D16,90,3.6667,"[3, 6, 5, 4, 2, 4, 3, 4, 3, 3, 1, 4, 4, 5, 2, 2, 5, 4, 5, 4, 5, 4, 5, 1]","[2, 5, 4, 3, 1, 3, 2, 3, 2, 2, 0, 3, 3, 4, 1, 1, 4, 3, 4, 3, 4, 3, 4, 0]","[3, 5, 5, 4, 2, 4, 3, 4, 3, 3, 1, 4, 4, 5, 2, 2, 5, 4, 5, 4, 5, 4, 5, 1]",88,24,26,False,32
