target,prompt,path,n_positions,rel_l2,max_abs,top1_agree,certified_frac
fp16,0,chunked_kv,32,0.001501,0.0312,1.0,1.0
fp16,0,incremental_kv,32,0.001467,0.0312,1.0,1.0
fp16,1,chunked_kv,32,0.00182,0.0312,1.0,1.0
fp16,1,incremental_kv,32,0.001731,0.0312,1.0,1.0
fp16,2,chunked_kv,32,0.001726,0.0312,1.0,1.0
fp16,2,incremental_kv,32,0.001692,0.0312,1.0,0.9688
fp16,3,chunked_kv,32,0.001837,0.0293,1.0,1.0
fp16,3,incremental_kv,32,0.001781,0.043,1.0,1.0
fp16,4,chunked_kv,32,0.001735,0.0254,1.0,0.9688
fp16,4,incremental_kv,32,0.001723,0.0312,1.0,0.9688
fp16,5,chunked_kv,32,0.001625,0.0312,1.0,1.0
fp16,5,incremental_kv,32,0.001557,0.0312,1.0,1.0
fake_W8A8,0,chunked_kv,32,0.017615,0.3359,1.0,0.9375
fake_W8A8,0,incremental_kv,32,0.017957,0.2998,1.0,0.9375
fake_W8A8,1,chunked_kv,32,0.020596,0.3518,1.0,0.9688
fake_W8A8,1,incremental_kv,32,0.020201,0.4004,1.0,0.9688
fake_W8A8,2,chunked_kv,32,0.020054,0.332,1.0,0.9375
fake_W8A8,2,incremental_kv,32,0.020109,0.4531,1.0,0.9375
fake_W8A8,3,chunked_kv,32,0.021819,0.3281,1.0,1.0
fake_W8A8,3,incremental_kv,32,0.021866,0.3644,1.0,1.0
fake_W8A8,4,chunked_kv,32,0.023188,0.5,0.9688,0.9688
fake_W8A8,4,incremental_kv,32,0.02306,0.4375,0.9688,0.9688
fake_W8A8,5,chunked_kv,32,0.018544,0.3398,0.9688,0.9375
fake_W8A8,5,incremental_kv,32,0.018382,0.3203,1.0,0.9688
fake_W4A4,0,chunked_kv,32,0.347755,5.498,0.75,0.1562
fake_W4A4,0,incremental_kv,32,0.342619,6.1152,0.7812,0.1562
fake_W4A4,1,chunked_kv,32,0.378174,5.3604,0.9688,0.6562
fake_W4A4,1,incremental_kv,32,0.36431,6.8574,0.9375,0.625
fake_W4A4,2,chunked_kv,32,0.360156,7.4004,0.9688,0.5938
fake_W4A4,2,incremental_kv,32,0.361671,5.9023,0.9688,0.625
fake_W4A4,3,chunked_kv,32,0.377559,5.3164,1.0,0.5312
fake_W4A4,3,incremental_kv,32,0.384686,5.7891,0.9688,0.5
fake_W4A4,4,chunked_kv,32,0.353585,5.877,0.8438,0.375
fake_W4A4,4,incremental_kv,32,0.352537,6.6953,0.8438,0.3438
fake_W4A4,5,chunked_kv,32,0.388296,6.0469,0.9062,0.3125
fake_W4A4,5,incremental_kv,32,0.376756,6.4082,0.9688,0.3438
