config,prompt_id,mean_acceptance,exact_match
F0_stock,81,3.9231,True
F0_stock,82,4.8,True
F0_stock,83,4.6364,True
F0_stock,84,3.4286,True
F0_stock,85,2.8824,True
F0_stock,86,3.125,True
F0_stock,87,3.8462,True
F0_stock,88,3.125,True
F1_prev_B2_rotated_embedding,81,3.9231,True
F1_prev_B2_rotated_embedding,82,4.8,True
F1_prev_B2_rotated_embedding,83,4.6364,True
F1_prev_B2_rotated_embedding,84,3.6923,True
F1_prev_B2_rotated_embedding,85,2.8824,True
F1_prev_B2_rotated_embedding,86,3.125,True
F1_prev_B2_rotated_embedding,87,3.8462,True
F1_prev_B2_rotated_embedding,88,3.125,True
F2_concat_selective_explicit,81,3.9231,True
F2_concat_selective_explicit,82,4.8,True
F2_concat_selective_explicit,83,4.6364,True
F2_concat_selective_explicit,84,3.6923,True
F2_concat_selective_explicit,85,2.8824,True
F2_concat_selective_explicit,86,3.125,True
F2_concat_selective_explicit,87,3.8462,True
F2_concat_selective_explicit,88,3.125,True
F3_concat_selective_folded,81,3.9231,True
F3_concat_selective_folded,82,4.8,True
F3_concat_selective_folded,83,4.6364,True
F3_concat_selective_folded,84,3.6923,True
F3_concat_selective_folded,85,2.8824,True
F3_concat_selective_folded,86,3.125,True
F3_concat_selective_folded,87,3.8462,True
F3_concat_selective_folded,88,3.125,True
F4_embedding_rotated,81,1.4545,True
F4_embedding_rotated,82,1.7778,True
F4_embedding_rotated,83,1.6667,True
F4_embedding_rotated,84,1.6,True
F4_embedding_rotated,85,1.3333,True
F4_embedding_rotated,86,1.3714,True
F4_embedding_rotated,87,1.4545,True
F4_embedding_rotated,88,1.4118,True
F5_orig_PL_recurrent,81,2.4,True
F5_orig_PL_recurrent,82,2.4286,True
F5_orig_PL_recurrent,83,2.8235,True
F5_orig_PL_recurrent,84,2.087,True
F5_orig_PL_recurrent,85,2.0417,True
F5_orig_PL_recurrent,86,2.3333,True
F5_orig_PL_recurrent,87,2.3333,True
F5_orig_PL_recurrent,88,2.087,True
N_no_output_R,81,1.0213,True
N_no_output_R,82,1.0,True
N_no_output_R,83,1.0,True
N_no_output_R,84,1.0,True
N_no_output_R,85,1.0,True
N_no_output_R,86,1.0,True
N_no_output_R,87,1.0,True
N_no_output_R,88,1.0,True
N_R_before_PL,81,1.0213,True
N_R_before_PL,82,1.0213,True
N_R_before_PL,83,1.0435,True
N_R_before_PL,84,1.0213,True
N_R_before_PL,85,1.1429,True
N_R_before_PL,86,1.0652,True
N_R_before_PL,87,1.0,True
N_R_before_PL,88,1.0435,True
N_first_for_recurrent,81,3.4,True
N_first_for_recurrent,82,4.0,True
N_first_for_recurrent,83,3.8462,True
N_first_for_recurrent,84,3.2,True
N_first_for_recurrent,85,2.7222,True
N_first_for_recurrent,86,2.8824,True
N_first_for_recurrent,87,3.125,True
N_first_for_recurrent,88,2.9412,True
N_recurrent_for_first,81,1.2,True
N_recurrent_for_first,82,1.1429,True
N_recurrent_for_first,83,1.2,True
N_recurrent_for_first,84,1.0667,True
N_recurrent_for_first,85,1.0435,True
N_recurrent_for_first,86,1.1163,True
N_recurrent_for_first,87,1.0667,True
N_recurrent_for_first,88,1.2,True
