method,tensor,rms,absmax,kurtosis,top01pct_channel_energy,shape
SEAGLE-PTQ,act_first_after,0.7678248991971098,4.88671875,1.495406003343457,0.005952730642623605,"[128, 8192]"
SEAGLE-PTQ,act_first_original,1.2737055528811123,73.91958618164062,83.4447195707527,0.11472108741109097,"[128, 8192]"
SEAGLE-PTQ,act_recurrent_after,1.0231446386536087,8.09375,2.2414288739522084,0.008306398403212727,"[128, 8192]"
SEAGLE-PTQ,act_recurrent_original,0.9777438756605417,29.778682708740234,29.569888069744948,0.08153164134616323,"[128, 8192]"
SEAGLE-PTQ,w_first_original,0.0511143160021255,0.74365234375,3.2770843031326837,0.00625478490138293,"[4096, 8192]"
SEAGLE-PTQ,w_first_after,0.006251603572210681,0.06060791015625,2.3222409290403974,0.00202831797712418,"[4096, 8192]"
SEAGLE-PTQ,w_rec_original,0.0511143160021255,0.74365234375,3.2770843031326837,0.00625478490138293,"[4096, 8192]"
SEAGLE-PTQ,w_rec_after,0.003816709046130555,0.0360107421875,1.4117203228305408,0.0019758748019650164,"[4096, 8192]"
SEAGLE-QAT,act_first_after,0.7677081487552169,5.06640625,1.4897828484912763,0.005761781251817887,"[128, 8192]"
SEAGLE-QAT,act_first_original,1.2739243653629735,77.43526458740234,66.16582566477206,0.08223072046849345,"[128, 8192]"
SEAGLE-QAT,act_recurrent_after,0.9911142898756379,7.9140625,2.192655999157876,0.005880037221442137,"[128, 8192]"
SEAGLE-QAT,act_recurrent_original,0.9429025019712532,25.980379104614258,17.976149165349103,0.05540998985280211,"[128, 8192]"
SEAGLE-QAT,w_first_original,0.05111701154156119,0.744140625,3.277142098295746,0.006255353170966704,"[4096, 8192]"
SEAGLE-QAT,w_first_after,0.006250424265307263,0.0599365234375,2.32261567479276,0.002028357794861404,"[4096, 8192]"
SEAGLE-QAT,w_rec_original,0.05111701154156119,0.744140625,3.277142098295746,0.006255353170966704,"[4096, 8192]"
SEAGLE-QAT,w_rec_after,0.003816080151110079,0.035797119140625,1.4107125237659748,0.0019756292588812693,"[4096, 8192]"
SEAGLE-RT,act_first_after,0.7645336369067436,4.9375,1.5778705290906432,0.0056780783797178505,"[128, 8192]"
SEAGLE-RT,act_first_original,1.268517597114975,77.43526458740234,63.56792694671741,0.08688390165134512,"[128, 8192]"
SEAGLE-RT,act_recurrent_after,1.0048285805934924,6.671875,2.2260358427237046,0.010289797835211894,"[128, 8192]"
SEAGLE-RT,act_recurrent_original,0.9598530320662841,26.235618591308594,15.197773029003372,0.06411494182599936,"[128, 8192]"
SEAGLE-RT,w_first_original,0.046223875790548714,0.5791015625,3.159825915346917,0.0056914750419978484,"[4096, 8192]"
SEAGLE-RT,w_first_after,0.006192054431867841,0.05426025390625,2.389802176424171,0.002035487240519243,"[4096, 8192]"
SEAGLE-RT,w_rec_original,0.046223875790548714,0.5791015625,3.159825915346917,0.0056914750419978484,"[4096, 8192]"
SEAGLE-RT,w_rec_after,0.0037228490739880933,0.0283966064453125,1.4806485704712191,0.001849208509889499,"[4096, 8192]"
