prompt_id,cycle,level,delta_inf,boundary_margin,certified,topk_set_equal
81,0,0,0.01562,0.14844,True,True
81,0,1,0.01917,0.00781,False,True
81,0,2,0.01562,0.20312,True,True
81,0,3,0.02344,0.75781,True,True
81,0,4,0.01562,0.39062,True,True
81,1,0,0.01172,0.10938,True,True
81,1,1,0.01562,0.02344,False,True
81,1,2,0.00977,0.05469,True,True
81,1,3,0.02344,0.08594,True,True
81,1,4,0.01562,0.16406,True,True
81,2,0,0.00977,0.3125,True,True
81,2,1,0.01562,1.83594,True,True
81,2,2,0.03125,0.28125,True,True
81,2,3,0.02344,0.17188,True,True
81,2,4,0.01562,0.16406,True,True
81,3,0,0.00781,0.0,False,False
81,3,1,0.01562,0.14844,True,True
81,3,2,0.01172,0.25781,True,True
81,3,3,0.01953,0.90625,True,True
81,3,4,0.00879,0.0,False,False
81,4,0,0.00781,0.15625,True,True
81,4,1,0.01562,0.42969,True,True
81,4,2,0.01562,0.04688,True,True
81,4,3,0.01172,0.20312,True,True
81,4,4,0.01562,0.08594,True,True
81,5,0,0.01562,1.64844,True,True
81,5,1,0.01562,0.12109,True,True
81,5,2,0.02344,0.15625,True,True
81,5,3,0.01562,0.07031,True,True
81,5,4,0.02344,0.30469,True,True
81,6,0,0.01562,0.09375,True,True
81,6,1,0.00977,0.03906,True,True
81,6,2,0.01562,0.0625,True,True
81,6,3,0.03125,0.03125,False,True
81,6,4,0.01709,0.10156,True,True
81,7,0,0.01172,0.21094,True,True
81,7,1,0.01221,0.39844,True,True
81,7,2,0.01593,0.26562,True,True
81,7,3,0.00781,0.07812,True,True
81,7,4,0.02344,0.16797,True,True
81,8,0,0.01562,0.38281,True,True
81,8,1,0.01562,0.13672,True,True
81,8,2,0.01172,1.01562,True,True
81,8,3,0.01562,0.0,False,True
81,8,4,0.01562,0.62891,True,True
81,9,0,0.01367,0.10938,True,True
81,9,1,0.01562,0.15625,True,True
81,9,2,0.01172,0.02344,False,True
81,9,3,0.01172,0.58203,True,True
81,9,4,0.01562,0.15625,True,True
81,10,0,0.00781,0.06641,True,True
81,10,1,0.01172,0.28906,True,True
81,10,2,0.01953,0.02344,False,True
81,10,3,0.01562,0.16406,True,True
81,10,4,0.01172,0.27344,True,True
81,11,0,0.00977,0.10938,True,True
81,11,1,0.01562,0.32812,True,True
81,11,2,0.01562,0.86719,True,True
81,11,3,0.01562,0.0625,True,True
81,11,4,0.01367,0.0,False,True
81,12,0,0.01562,0.65625,True,True
81,12,1,0.00781,0.03125,True,True
81,12,2,0.01562,0.10156,True,True
81,12,3,0.03125,0.04688,False,True
81,12,4,0.01562,0.07812,True,True
81,13,0,0.00781,0.20312,True,True
81,13,1,0.01172,0.02344,False,True
81,13,2,0.01172,0.11719,True,True
81,13,3,0.01245,0.1875,True,True
81,13,4,0.01562,0.13281,True,True
81,14,0,0.01562,0.61719,True,True
81,14,1,0.01562,0.10156,True,True
81,14,2,0.01172,0.10938,True,True
81,14,3,0.01562,0.26562,True,True
81,14,4,0.01953,0.03125,False,True
81,15,0,0.00781,0.09766,True,True
81,15,1,0.01172,0.09375,True,True
81,15,2,0.01172,0.17969,True,True
81,15,3,0.01172,0.14062,True,True
81,15,4,0.00977,0.13672,True,True
