prompt_id,stock_al,cs_fp16_al,cs_fp32fc_al,tokens_equal,al_list_equal,al_list_equal_fp32fc
81,3.4737,3.4737,3.4737,True,True,True
82,4.4,4.4,4.4,True,True,True
83,4.4,4.4,4.4,True,True,True
84,3.25,3.25,3.25,True,True,True
85,2.6667,2.6667,2.6667,True,True,True
86,2.8261,2.8261,2.8261,True,True,True
87,3.4211,3.4211,3.4211,True,True,True
88,3.0476,3.0,3.0476,True,False,True
89,4.3333,4.3333,4.3333,True,True,True
90,3.5789,3.5789,3.5789,True,True,True
91,3.1429,3.1429,3.1429,True,True,True
92,2.56,2.56,2.56,True,True,True
93,4.125,4.125,4.125,True,True,True
94,3.2353,3.2353,3.2353,True,True,True
95,3.0476,3.0476,3.0476,True,True,True
96,3.8824,3.8824,3.8824,True,True,True
97,3.8333,3.8333,3.8333,True,True,True
98,2.8696,2.8696,2.8696,True,True,True
99,3.5556,3.5556,3.5556,True,True,True
100,2.6667,2.6667,2.6667,True,True,True
