config,H_Q,mean4
ptq_frozen,0.0,3.4788
b2_alpha10,0.013593,3.5168
b1_global_f90_s0,0.013898,3.5087
b1_global_f90_s1,0.013898,3.5245
b1_global_f90_s2,0.013898,3.534
b2_alpha25,0.034238,3.5096
b1_global_f75_s2,0.034745,3.4863
b1_global_f75_s1,0.034745,3.5023
b1_global_f75_s0,0.034745,3.5028
b1_nondown_f100,0.051896,2.3143
b2_alpha50,0.068916,3.4642
b1_global_f50_s1,0.06949,3.4731
b1_global_f50_s0,0.06949,3.4842
b1_global_f50_s2,0.06949,3.4846
b1_nondown_f75,0.073667,2.6503
b1_down_f100,0.087084,3.4573
b1_nondown_f50,0.095438,3.0791
b1_down_f75,0.100058,3.4777
b2_alpha75,0.10386,3.4864
b1_global_f25_s2,0.104235,3.4791
b1_global_f25_s1,0.104235,3.4811
b1_global_f25_s0,0.104235,3.4837
b1_down_f50,0.113032,3.4672
b1_nondown_f25,0.117209,3.4163
b2_alpha90,0.124921,3.4831
b1_down_f25,0.126006,3.471
b1_global_f0,0.13898,3.4504
