name,absmax,frac_above_2,frac_below_0.5,max,mean,min,rms
hidden_norm,1.484375,0.0,0.001708984375,1.484375,1.1659092903137207,0.2890625,1.1743494272232056
final_norm,3.921875,0.977783203125,0.0009765625,3.921875,2.582587718963623,0.0712890625,2.593013286590576
l0.input_ln,1.5,0.0,0.00048828125,1.5,0.9319820404052734,0.431640625,0.9373043775558472
l0.post_ln,1.046875,0.0,0.00244140625,1.046875,0.8005526065826416,0.1943359375,0.8042921423912048
l0.q_norm,2.875,0.0234375,0.0625,2.875,1.3819459676742554,0.0030364990234375,1.4419571161270142
l0.k_norm,2.84375,0.0234375,0.046875,2.84375,1.3948068618774414,0.0078125,1.447448492050171
l1.input_ln,0.8828125,0.0,0.364501953125,0.8828125,0.5197621583938599,0.09033203125,0.5251887440681458
l1.post_ln,0.9296875,0.0,0.110595703125,0.9296875,0.6441622972488403,0.00970458984375,0.6585531830787659
l1.q_norm,2.125,0.0078125,0.0703125,2.125,1.07513427734375,0.333984375,1.1636947393417358
l1.k_norm,2.265625,0.015625,0.0625,2.265625,1.06842041015625,0.333984375,1.166391134262085
l2.input_ln,1.3359375,0.0,0.001708984375,1.3359375,1.0575931072235107,0.2197265625,1.062668800354004
l2.post_ln,0.921875,0.0,0.03955078125,0.921875,0.7143377065658569,0.01312255859375,0.7227523922920227
l2.q_norm,2.015625,0.0078125,0.0078125,2.015625,1.6723403930664062,0.2353515625,1.7054321765899658
l2.k_norm,2.109375,0.015625,0.0078125,2.109375,1.651824951171875,0.49609375,1.689968466758728
l3.input_ln,1.7265625,0.0,0.00048828125,1.7265625,1.3182659149169922,0.447265625,1.3232007026672363
l3.post_ln,0.8671875,0.0,0.02978515625,0.8671875,0.729842483997345,0.0010223388671875,0.7352293729782104
l3.q_norm,2.0,0.0,0.0078125,2.0,1.6731719970703125,0.455078125,1.7077757120132446
l3.k_norm,2.125,0.015625,0.0,2.125,1.6572265625,0.6171875,1.6987030506134033
l4.input_ln,1.609375,0.0,0.000732421875,1.609375,1.0912353992462158,0.2314453125,1.0951128005981445
l4.post_ln,0.82421875,0.0,0.008056640625,0.82421875,0.6983591318130493,0.000751495361328125,0.6999494433403015
l4.q_norm,2.078125,0.125,0.0078125,2.078125,1.7626800537109375,0.423828125,1.79038405418396
l4.k_norm,2.09375,0.1640625,0.0078125,2.09375,1.7489852905273438,0.1787109375,1.782595157623291
