basis,site,layer,branch,pearson_rms,spearman_rms,pearson_absmax,spearman_absmax,n_channels,verdict
stock,fc,,0,-0.08138968564914208,-0.18072426168141215,-0.08423303318881488,-0.27339689386766514,4096,none(|r|<0.1)
stock,fc,,1,-0.13993647377088483,0.014652462734615073,-0.13540384639177122,0.01908566223828344,4096,compensatory(neg)
stock,fc,,2,-0.20773036026810138,-0.2138820191039231,-0.18172017176713343,-0.17338566124363086,4096,compensatory(neg)
stock,fc,,3,-0.2739927579600344,-0.20495580718123507,-0.20440095266854658,-0.16318157606862568,4096,compensatory(neg)
stock,fc,,4,-0.2668237576582881,-0.46261316076362724,-0.16148648828034443,-0.31147077015752844,4096,compensatory(neg)
stock,fc,,all,-0.2474198706723003,-0.8348314546529841,-0.1159277798222894,-0.8279037319965973,20480,compensatory(neg)
rotated,fc,,0,-0.010714883429397144,-0.005683673360622577,-0.010326794291803498,-0.005670227739396109,4096,none(|r|<0.1)
rotated,fc,,1,0.008894740089782633,0.0017870915372612498,0.00824441222305892,0.0009577341250097232,4096,none(|r|<0.1)
rotated,fc,,2,0.010882204823596272,0.014253800187486421,0.012509378885237066,0.015902249100845253,4096,none(|r|<0.1)
rotated,fc,,3,-0.0013757443652550696,0.0004980424133825251,0.002385630739942587,0.003888568374205731,4096,none(|r|<0.1)
rotated,fc,,4,-0.018586257311752334,-0.02026080635533818,-0.0383518693310793,-0.036021507280298015,4096,none(|r|<0.1)
rotated,fc,,all,-0.3579391987711369,-0.3914226134349982,-0.031912452159885085,-0.04513257206141892,20480,compensatory(neg)
draft_hidden,k_ctx,0,,-0.12072423030110695,-0.045076043004977286,-0.10441283279546944,0.13213945129599877,4096,compensatory(neg)
draft_hidden,v_ctx,0,,-0.24979503324177085,-0.03685406535739096,-0.24709837598288964,0.14594673856915094,4096,compensatory(neg)
draft_hidden,k_ctx,1,,0.05448382941665975,-0.025677806656695557,0.032784803198264226,0.1217943163191306,4096,none(|r|<0.1)
draft_hidden,v_ctx,1,,-0.2591504831552291,-0.06862640638564714,-0.25616439985642553,0.11800981224759294,4096,compensatory(neg)
draft_hidden,k_ctx,2,,-0.11202891389298693,-0.07026854424941059,-0.13686544127023612,0.07155676496180982,4096,compensatory(neg)
draft_hidden,v_ctx,2,,-0.2565759625342558,-0.0583096462481817,-0.25218043265772794,0.13111452608493127,4096,compensatory(neg)
draft_hidden,k_ctx,3,,-0.1514318149977282,-0.06950166292777885,-0.1734319545970904,0.07702113995733947,4096,compensatory(neg)
draft_hidden,v_ctx,3,,-0.24384540462103738,-0.04074109373142012,-0.23551683366302395,0.15162745765797542,4096,compensatory(neg)
draft_hidden,k_ctx,4,,-0.14336997344329255,-0.06289952046989399,-0.16121723224694132,0.08575556920921099,4096,compensatory(neg)
draft_hidden,v_ctx,4,,-0.2485713736782887,-0.042593893980150316,-0.24033876418349728,0.1503901177202049,4096,compensatory(neg)
