site,layer,x_dim,w_shape,A_only_nmse,W_only_nmse,AW_nmse,interaction_nmse,AW_cosine,max_abs_err_AW,verdict,n_rows
q,0,4096,4096x4096,0.019007818773388863,0.024477940052747726,0.04396801069378853,0.0004822518676519394,0.9787143468856812,7.073949337005615,mixed,480
k_noise,0,4096,1024x4096,0.018551962450146675,0.024553999304771423,0.04352238029241562,0.00041641853749752045,0.978762686252594,7.059342384338379,mixed,480
v_noise,0,4096,1024x4096,0.019046112895011902,0.025206731632351875,0.04536435753107071,0.001111513003706932,0.9780352711677551,3.4879989624023438,mixed,480
k_ctx,0,4096,1024x4096,0.24934403598308563,0.006580186542123556,0.2550617456436157,-0.0008624768815934658,0.8668911457061768,203.24891662597656,activation_driven,4000
v_ctx,0,4096,1024x4096,0.5259715914726257,0.017614834010601044,0.5407876968383789,-0.00279872864484787,0.6782380938529968,26.515501022338867,activation_driven,4000
o,0,4096,4096x4096,0.001669623190537095,0.0014845222467556596,0.0031992648728191853,4.511943552643061e-05,0.9984029531478882,10.269198417663574,mixed,480
gate,0,4096,12288x4096,0.012300168164074421,0.011032055132091045,0.023652443662285805,0.00032022036612033844,0.9884108304977417,4.940364360809326,mixed,480
up,0,4096,12288x4096,0.06694112718105316,0.061202216893434525,0.12964525818824768,0.0015019141137599945,0.9411279559135437,4.871217250823975,mixed,480
down,0,12288,4096x12288,0.0043422020971775055,0.006872071418911219,0.011350195854902267,0.00013592233881354332,0.9943870902061462,15.5361328125,mixed,480
q,1,4096,4096x4096,0.0032539060339331627,0.0023340138141065836,0.005670138634741306,8.221878670156002e-05,0.9971750974655151,5.8736114501953125,mixed,480
k_noise,1,4096,1024x4096,0.011201437562704086,0.007940464653074741,0.019542904570698738,0.00040100235491991043,0.9903847575187683,3.976306438446045,mixed,480
v_noise,1,4096,1024x4096,0.26940903067588806,0.20857511460781097,0.481859028339386,0.0038748830556869507,0.820637583732605,3.2343595027923584,mixed,480
k_ctx,1,4096,1024x4096,0.1701335608959198,0.006033489014953375,0.17455175518989563,-0.0016152947209775448,0.9085425138473511,39.680320739746094,activation_driven,4000
v_ctx,1,4096,1024x4096,0.5216825604438782,0.022213291376829147,0.5400828123092651,-0.0038130395114421844,0.6785770654678345,27.89707374572754,activation_driven,4000
o,1,4096,4096x4096,0.012988489121198654,0.008687770925462246,0.021994857117533684,0.00031859707087278366,0.9889496564865112,28.56719970703125,mixed,480
gate,1,4096,12288x4096,0.03677112236618996,0.0251628290861845,0.06282411515712738,0.0008901637047529221,0.9700740575790405,5.228744029998779,mixed,480
up,1,4096,12288x4096,0.05774204432964325,0.04056166112422943,0.09986040741205215,0.0015567019581794739,0.9535737037658691,5.135594367980957,mixed,480
down,1,12288,4096x12288,0.013224826194345951,0.016423463821411133,0.03003391996026039,0.00038562994450330734,0.985275149345398,56.6610107421875,mixed,480
q,2,4096,4096x4096,0.01490703783929348,0.0122737567871809,0.027493789792060852,0.00031299516558647156,0.9865721464157104,14.08084487915039,mixed,480
k_noise,2,4096,1024x4096,0.0178214181214571,0.013893935829401016,0.03213292360305786,0.0004175696521997452,0.9845330715179443,6.6691484451293945,mixed,480
v_noise,2,4096,1024x4096,0.09529997408390045,0.07696705311536789,0.1744460165500641,0.002178989350795746,0.923141360282898,7.412115097045898,mixed,480
k_ctx,2,4096,1024x4096,0.2624068558216095,0.008612675592303276,0.27066612243652344,-0.00035340897738933563,0.8543921709060669,45.463287353515625,activation_driven,4000
