config,dataset,tensor,code_entropy_bits,code_hist,exact_zero_dequant_ratio,mean_unique_codes_per_token,n_tokens,nmse_max,nmse_mean,nmse_median,nmse_p90,nmse_p99,sat_high_ratio,sat_low_ratio,scale_max,scale_median,scale_p90,scale_p99,zero_int_code_ratio,zero_median,zero_p90
R0,gsm8k,B_concat,1.802533028996595,5e-05;2e-05;0.0001;0.00045;0.00259;0.00309;0.00469;0.0192;0.00638;0.01229;0.01803;0.09799;0.51084;0.32176;0.00238;0.00014,0.9683100700378418,8.867708333333333,20490,0.6151741147041321,0.4784069061279297,0.5041202306747437,0.5395307898521423,0.5627026373147965,0.0001408565707000283,5.448881966003682e-05,41.333335876464844,1.7937500476837158,2.2208335399627686,2.6000001430511475,0.9683100700378418,12.0,13.0
R0,gsm8k,B_concat_p2,3.4492031028079166,0.00037;0.00082;0.01379;0.10131;0.14646;0.13555;0.1199;0.06892;0.03275;0.04174;0.08783;0.06723;0.0844;0.09331;0.00524;0.00038,0.7681906958421071,10.53203125,102450,0.5627868175506592,0.306963175535202,0.33628666400909424,0.45512465536594393,0.48767757117748256,0.00037719734536949544,0.0003662035567685962,41.333335876464844,0.3135416805744171,1.783333420753479,2.410416841506958,0.7681906958421071,6.0,12.0
R0,gsm8k,C_Ht,1.4027576067594112,0.00025;0.0;2e-05;5e-05;0.00012;0.0003;0.00117;0.02734;0.35961;0.5569;0.05296;0.00057;0.00016;0.0001;0.00013;0.00033,0.8369451007909245,9.3609375,42995,0.5674096345901489,0.4178037941455841,0.4285814166069031,0.51670241355896,0.5529421293735504,0.0003281909559316571,0.00024600403937963874,3.2333335876464844,2.366666793823242,2.758333444595337,3.0916669368743896,0.8369451007909245,9.0,9.0
R0,mtbench,B_concat,1.9495613266693557,5e-05;1e-05;6e-05;0.00029;0.00166;0.00241;0.0037;0.01273;0.00754;0.01719;0.04647;0.1744;0.50987;0.22115;0.00232;0.00012,0.962895980477333,9.00859375,44434,0.6322907209396362,0.4822487235069275,0.5040053129196167,0.5453510642051698,0.5722601759433745,0.00012494551692725507,5.420716806838755e-05,41.333335876464844,1.7729167938232422,2.1895835399627686,2.495833396911621,0.962895980477333,12.0,13.0
R0,mtbench,B_concat_p2,3.4595041591518827,0.00036;0.00062;0.00897;0.07648;0.14839;0.13775;0.1257;0.08227;0.05194;0.06392;0.08473;0.0579;0.08193;0.07396;0.00472;0.00037,0.7501159384846687,10.529296875,222170,0.5678308606147766,0.2956923246383667,0.31463730335235596,0.44640032649040223,0.48517690658569335,0.00036715123715111984,0.00035915700791520064,41.333335876464844,0.3229166865348816,1.7562501430511475,2.3145835399627686,0.7501159384846687,6.0,12.0
R0,mtbench,C_Ht,1.351923742540618,0.00025;0.0;1e-05;2e-05;5e-05;0.00014;0.00063;0.03433;0.54062;0.39301;0.03002;0.00031;0.00011;0.00011;9e-05;0.00029,0.8589416964600484,9.461988005313195,125480,0.5756683945655823,0.46251973509788513,0.4840453863143921,0.5398349165916443,0.5567183494567871,0.0003057661657294375,0.00024585341485969063,3.4250001907348633,2.641666889190674,3.008333444595337,3.200000286102295,0.8589416964600484,8.0,9.0
R0q,gsm8k,B_concat,1.902889394241794,5e-05;0.0;0.0;2e-05;0.00589;0.00015;0.00062;0.0028;0.0042;0.01426;0.05663;0.25806;0.49413;0.15743;0.00559;0.00017,0.9096952925125757,9.052604166666667,20490,0.5982077717781067,0.38282182812690735,0.3981555700302124,0.517598307132721,0.560752112865448,0.00017656227500992828,5.163254075644848e-05,13.65000057220459,0.9125000238418579,1.2343751192092896,1.5481459331512464,0.9096952925125757,12.0,13.0
R0q,gsm8k,B_concat_p2,3.4430721597399954,0.00035;0.0005;0.00469;0.03141;0.08054;0.10081;0.1218;0.1379;0.13933;0.10562;0.06108;0.04884;0.07959;0.07544;0.01158;0.00054,0.5344936107595761,11.648697916666666,102450,0.5440528988838196,0.16622062027454376,0.13415074348449707,0.3368063718080521,0.45867587119340897,0.0005435483990974414,0.0003455039996576185,13.65000057220459,0.17473959922790527,0.8906250596046448,1.3270833492279053,0.5344936107595761,8.0,12.0
R0q,gsm8k,C_Ht,1.630342530501386,0.00025;3e-05;4e-05;0.00014;0.0004;0.00154;0.00466;0.03699;0.25154;0.5663;0.13338;0.00405;0.00014;5e-05;0.00012;0.00036,0.6573243973983659,9.084505208333333,42995,0.47493141889572144,0.2588840126991272,0.2566853165626526,0.34789171218872067,0.41078415513038635,0.00036319372375146484,0.0002485621323608535,2.558333396911621,1.8500001430511475,2.141666889190674,2.3625001907348633,0.6573243973983659,9.0,9.0
R0q,mtbench,B_concat,1.8856393460839909,5e-05;0.0;1e-05;2e-05;0.00367;0.00022;0.00085;0.00296;0.00547;0.01643;0.07259;0.32029;0.47104;0.10275;0.00352;0.00014,0.9115121953189373,9.1224609375,44434,0.6077945828437805,0.4036910831928253,0.42414218187332153,0.5308983087539673,0.5649075973033905,0.0001501608693615708,5.151216514605039e-05,13.65000057220459,0.9854167103767395,1.3166667222976685,1.595833420753479,0.9115121953189373,12.0,12.0
