config,group,family,mode,n_prompts,al_mean,al_sd
branch_A_fullconcat_W16A4,branch,branch_A_fullconcat_W16A4,,20,1.4589,0.1274
branch_A_fullconcat_W4A4,branch,branch_A_fullconcat_W4A4,,20,1.0415,0.0352
branch_B_branchwise_W16A4,branch,branch_B_branchwise_W16A4,,20,3.1089,0.5645
branch_B_branchwise_W4A4,branch,branch_B_branchwise_W4A4,,20,1.2104,0.1059
branch_C_eA4_hA8,branch,branch_C_eA4_hA8,,20,3.4333,0.5615
branch_C_eA4_hFP16,branch,branch_C_eA4_hFP16,,20,3.4222,0.5402
branch_C_eA8_hA4,branch,branch_C_eA8_hA4,,20,3.1455,0.5921
branch_C_eFP16_hA4,branch,branch_C_eFP16_hA4,,20,3.145,0.5782
draft_ar__w16a4,draft,draft_ar,w16a4,20,3.3301,0.5176
draft_ar__w16a8,draft,draft_ar,w16a8,20,3.3997,0.5711
draft_ar__w4a16,draft,draft_ar,w4a16,20,3.3904,0.5842
draft_ar__w4a4,draft,draft_ar,w4a4,20,3.2779,0.6498
draft_ar__w8a16,draft,draft_ar,w8a16,20,3.4225,0.5544
draft_ar__w8a8,draft,draft_ar,w8a8,20,3.424,0.559
draft_embed__w16a4,draft,draft_embed,w16a4,20,3.4222,0.5402
draft_embed__w16a8,draft,draft_embed,w16a8,20,3.4158,0.5907
draft_embed__w4a16,draft,draft_embed,w4a16,20,3.407,0.5599
draft_embed__w4a4,draft,draft_embed,w4a4,20,3.407,0.5599
draft_embed__w8a16,draft,draft_embed,w8a16,20,3.422,0.5911
draft_embed__w8a8,draft,draft_embed,w8a8,20,3.437,0.5858
draft_first__w16a4,draft,draft_first,w16a4,20,1.7218,0.2951
draft_first__w16a8,draft,draft_first,w16a8,20,2.1658,0.3604
draft_first__w4a16,draft,draft_first,w4a16,20,1.2755,0.1119
draft_first__w4a4,draft,draft_first,w4a4,20,1.0423,0.0347
draft_first__w8a16,draft,draft_first,w8a16,20,3.4041,0.5538
draft_first__w8a8,draft,draft_first,w8a8,20,2.1031,0.3491
draft_full__w16a4,draft,draft_full,w16a4,20,1.4241,0.1277
draft_full__w16a8,draft,draft_full,w16a8,20,2.0434,0.3505
draft_full__w4a16,draft,draft_full,w4a16,20,1.2716,0.1095
draft_full__w4a4,draft,draft_full,w4a4,20,1.0393,0.0295
draft_full__w8a16,draft,draft_full,w8a16,20,3.4075,0.5853
draft_full__w8a8,draft,draft_full,w8a8,20,2.0037,0.318
draft_head__w16a4,draft,draft_head,w16a4,20,3.4271,0.5827
draft_head__w16a8,draft,draft_head,w16a8,20,3.4134,0.5924
draft_head__w4a16,draft,draft_head,w4a16,20,3.3933,0.5547
draft_head__w4a4,draft,draft_head,w4a4,20,3.4321,0.5943
draft_head__w8a16,draft,draft_head,w8a16,20,3.422,0.5911
draft_head__w8a8,draft,draft_head,w8a8,20,3.4273,0.5834
draft_recurrent__w16a4,draft,draft_recurrent,w16a4,20,2.1984,0.1763
draft_recurrent__w16a8,draft,draft_recurrent,w16a8,20,3.2643,0.5364
draft_recurrent__w4a16,draft,draft_recurrent,w4a16,20,2.6105,0.2761
draft_recurrent__w4a4,draft,draft_recurrent,w4a4,20,1.9651,0.1096
draft_recurrent__w8a16,draft,draft_recurrent,w8a16,20,3.4005,0.564
draft_recurrent__w8a8,draft,draft_recurrent,w8a8,20,3.2662,0.5122
mix_proj4_head8,branch,mix_proj4_head8,,20,1.0406,0.0347
mix_proj8_head4,branch,mix_proj8_head4,,20,2.007,0.3217
mixed_D_first8_rec4,branch,mixed_D_first8_rec4,,20,1.5785,0.0945
mixed_E_first4_rec8,branch,mixed_E_first4_rec8,,20,1.0415,0.0352
target_body__w16a4,tbody,target_body,w16a4,20,3.2465,0.6611
target_body__w16a8,tbody,target_body,w16a8,20,3.43,0.6154
target_body__w4a16,tbody,target_body,w4a16,20,3.1045,0.6169
target_body__w4a4,tbody,target_body,w4a4,20,3.0079,0.5989
target_body__w8a16,tbody,target_body,w8a16,20,3.3948,0.6016
target_body__w8a8,tbody,target_body,w8a8,20,3.3922,0.6126
target_embedding__w16a4,tembed,target_embedding,w16a4,20,3.4608,0.6005
target_embedding__w16a8,tembed,target_embedding,w16a8,20,3.4134,0.5924
target_embedding__w4a16,tembed,target_embedding,w4a16,20,3.3879,0.6085
target_embedding__w4a4,tembed,target_embedding,w4a4,20,3.3802,0.6178
target_embedding__w8a16,tembed,target_embedding,w8a16,20,3.422,0.5911
target_embedding__w8a8,tembed,target_embedding,w8a8,20,3.4158,0.5907
target_lm_head__w16a4,thead,target_lm_head,w16a4,20,3.454,0.5473
target_lm_head__w16a8,thead,target_lm_head,w16a8,20,3.434,0.5822
target_lm_head__w4a16,thead,target_lm_head,w4a16,20,3.4464,0.7281
target_lm_head__w4a4,thead,target_lm_head,w4a4,20,3.3731,0.6287
target_lm_head__w8a16,thead,target_lm_head,w8a16,20,3.4141,0.5757
target_lm_head__w8a8,thead,target_lm_head,w8a8,20,3.4202,0.561
