config,prompt_id,mean_acceptance,exact_match,first_mismatch,n_new
FP00_stock,81,3.9231,True,-1,48
FP00_stock,82,4.8,True,-1,48
FP00_stock,83,4.6364,True,-1,48
FP00_stock,84,3.4286,True,-1,48
FP00_stock,85,2.8824,True,-1,48
FP00_stock,86,3.125,True,-1,48
FP00_stock,87,3.8462,True,-1,48
FP00_stock,88,3.125,True,-1,48
FP01_A_explicit,81,3.9231,True,-1,48
FP01_A_explicit,82,4.8,True,-1,48
FP01_A_explicit,83,4.6364,True,-1,48
FP01_A_explicit,84,3.6923,True,-1,48
FP01_A_explicit,85,2.8824,True,-1,48
FP01_A_explicit,86,3.125,True,-1,48
FP01_A_explicit,87,3.8462,True,-1,48
FP01_A_explicit,88,3.125,True,-1,48
FP01b_A_folded,81,3.9231,True,-1,48
FP01b_A_folded,82,4.8,True,-1,48
FP01b_A_folded,83,4.6364,True,-1,48
FP01b_A_folded,84,3.6923,True,-1,48
FP01b_A_folded,85,2.8824,True,-1,48
FP01b_A_folded,86,3.125,True,-1,48
FP01b_A_folded,87,3.8462,True,-1,48
FP01b_A_folded,88,3.125,True,-1,48
FP02_B2_split,81,3.9231,True,-1,48
FP02_B2_split,82,4.8,True,-1,48
FP02_B2_split,83,4.6364,True,-1,48
FP02_B2_split,84,3.6923,True,-1,48
FP02_B2_split,85,2.8824,True,-1,48
FP02_B2_split,86,3.125,True,-1,48
FP02_B2_split,87,3.8462,True,-1,48
FP02_B2_split,88,3.125,True,-1,48
FP02x_explicit_Mgamma,81,3.9231,True,-1,48
FP02x_explicit_Mgamma,82,4.8,True,-1,48
FP02x_explicit_Mgamma,83,4.6364,True,-1,48
FP02x_explicit_Mgamma,84,3.6923,True,-1,48
FP02x_explicit_Mgamma,85,2.8824,True,-1,48
FP02x_explicit_Mgamma,86,3.125,True,-1,48
FP02x_explicit_Mgamma,87,3.8462,True,-1,48
FP02x_explicit_Mgamma,88,3.125,True,-1,48
FP03_single_folded,81,3.4,True,-1,48
FP03_single_folded,82,4.0,True,-1,48
FP03_single_folded,83,3.8462,True,-1,48
FP03_single_folded,84,3.2,True,-1,48
FP03_single_folded,85,2.7222,True,-1,48
FP03_single_folded,86,2.8824,True,-1,48
FP03_single_folded,87,3.125,True,-1,48
FP03_single_folded,88,2.9412,True,-1,48
FP04_gamma_omitted,81,1.2,True,-1,48
FP04_gamma_omitted,82,1.1429,True,-1,48
FP04_gamma_omitted,83,1.2,True,-1,48
FP04_gamma_omitted,84,1.0667,True,-1,48
FP04_gamma_omitted,85,1.0435,True,-1,48
FP04_gamma_omitted,86,1.1163,True,-1,48
FP04_gamma_omitted,87,1.0667,True,-1,48
FP04_gamma_omitted,88,1.2,True,-1,48
N1_naive,81,1.1163,True,-1,48
N1_naive,82,1.0909,True,-1,48
N1_naive,83,1.2308,True,-1,48
N1_naive,84,1.0909,True,-1,48
N1_naive,85,1.1163,True,-1,48
N1_naive,86,1.1951,True,-1,48
N1_naive,87,1.1429,True,-1,48
N1_naive,88,1.0667,True,-1,48
N2_gamma_elementwise,81,1.0909,True,-1,48
N2_gamma_elementwise,82,1.0435,True,-1,48
N2_gamma_elementwise,83,1.0435,True,-1,48
N2_gamma_elementwise,84,1.0213,True,-1,48
N2_gamma_elementwise,85,1.0435,True,-1,48
N2_gamma_elementwise,86,1.0213,True,-1,48
N2_gamma_elementwise,87,1.0,True,-1,48
N2_gamma_elementwise,88,1.0435,True,-1,48
N4_wrong_orientation,81,1.1163,True,-1,48
N4_wrong_orientation,82,1.0435,True,-1,48
N4_wrong_orientation,83,1.0435,True,-1,48
N4_wrong_orientation,84,1.1429,True,-1,48
N4_wrong_orientation,85,1.1429,True,-1,48
N4_wrong_orientation,86,1.2564,True,-1,48
N4_wrong_orientation,87,1.1429,True,-1,48
N4_wrong_orientation,88,1.1429,True,-1,48
N5_fold_both_halves,81,4.0,True,-1,48
N5_fold_both_halves,82,4.25,True,-1,48
N5_fold_both_halves,83,4.1667,True,-1,48
N5_fold_both_halves,84,3.0,True,-1,48
N5_fold_both_halves,85,2.7222,True,-1,48
N5_fold_both_halves,86,3.3333,True,-1,48
N5_fold_both_halves,87,3.6923,True,-1,48
N5_fold_both_halves,88,2.9412,True,-1,48
