prompt_id,position,target_fp_top1,target_q_top1,target_top1_flip,target_fp_entropy,target_q_entropy,d_entropy,target_fp_margin,target_q_margin,d_logp_fp_draft_proposal,d_overlap_pQqFP_vs_pFPqFP,overlap_pFP_qFP,fkl_pFP_qFP,js_pFP_qFP,overlap_pQ_qFP,fkl_pQ_qFP,js_pQ_qFP,overlap_pFP_qQ,fkl_pFP_qQ,js_pFP_qQ,overlap_pQ_qQ,fkl_pQ_qQ,js_pQ_qQ,position_class
81,0,29871,29871,False,7.592773181386292e-05,0.00018538582662586123,0.00010945809481199831,12.078125,11.1484375,-8.940604857343715e-06,-7.927417755126953e-06,0.9999983906745911,1.5272192968041054e-06,5.214763518779364e-07,0.9999904632568359,7.374453161901329e-06,1.6073556707851822e-06,0.02473992109298706,3.6994941234588623,0.6348538398742676,0.024749040603637695,3.6994054317474365,0.6348259449005127,E_within_noise
81,1,4911,18527,True,0.7179499864578247,0.058278050273656845,-0.6596719622612,2.4375,5.6328125,-14.659523963928223,-0.3893202543258667,0.4054347276687622,0.9844578504562378,0.2623319625854492,0.016114473342895508,4.547977447509766,0.6565414667129517,0.004194140434265137,9.132530212402344,0.686694860458374,0.0026709437370300293,7.271986484527588,0.6875104308128357,acceptance_decrease
81,2,29901,29901,False,3.968743476434611e-05,0.0003242924576625228,0.0002846050192601979,12.9375,12.3203125,-1.8238806660519913e-05,1.1742115020751953e-05,0.9998137354850769,0.00017842189117800444,6.107134686317295e-05,0.9998254776000977,0.00015873047232162207,5.0774349801940843e-05,0.0006028413772583008,7.418223857879639,0.6906124353408813,0.0006211400032043457,7.4179511070251465,0.6905436515808105,E_within_noise
81,3,399,18637,True,1.4109597206115723,0.5377175807952881,-0.8732421398162842,0.21875,2.921875,1.3480180501937866,0.04023170471191406,0.5317572355270386,3.07639479637146,0.21151380240917206,0.5719889402389526,0.6390902996063232,0.14419624209403992,0.004507303237915039,7.084378242492676,0.6841667890548706,0.004713773727416992,9.333783149719238,0.6842397451400757,D_incidental_rank_flip
81,4,340,340,False,0.017160141840577126,0.05801331251859665,0.04085317254066467,6.421875,6.0390625,-0.004716460593044758,0.003490746021270752,0.5473998188972473,0.5935541391372681,0.18616726994514465,0.5508905649185181,0.5889880061149597,0.18516725301742554,0.00037091970443725586,10.046127319335938,0.6924165487289429,0.0013099908828735352,10.005560874938965,0.6909925937652588,E_within_noise
81,5,29892,29892,False,0.001150989904999733,0.08413643389940262,0.08298544585704803,9.4296875,4.109375,-0.016276301816105843,0.01613408327102661,0.906658947467804,0.09741589426994324,0.03322487324476242,0.9227930307388306,0.060843367129564285,0.01978040300309658,0.01272428035736084,4.371450901031494,0.6589546203613281,0.016475677490234375,4.308284759521484,0.6541788578033447,B_distribution_flattening
81,6,306,306,False,0.07175774872303009,0.3593057692050934,0.2875480055809021,5.8203125,2.4375,-0.08366473019123077,0.0011810660362243652,0.8061040639877319,0.20560164749622345,0.0655154287815094,0.8072851300239563,0.6582450270652771,0.09184864908456802,0.039856910705566406,3.3268179893493652,0.6076832413673401,0.042371153831481934,3.4722094535827637,0.6076630353927612,E_within_noise
81,7,29915,925,True,0.9047109484672546,0.20260024070739746,-0.7021107077598572,1.1875,3.921875,-3.883312225341797,-0.6510441303253174,0.6678708791732788,0.9848902225494385,0.12042238563299179,0.016826748847961426,6.007347106933594,0.6477574110031128,0.004082202911376953,7.429367542266846,0.6834812760353088,0.0034140348434448242,6.746130466461182,0.6850815415382385,acceptance_decrease
81,8,29885,29885,False,0.15577834844589233,0.11216606944799423,-0.0436122789978981,3.28125,3.71875,0.012914201244711876,0.012528836727142334,0.9749374389648438,0.017909478396177292,0.0035708793438971043,0.9874662756919861,0.005390628706663847,0.0011733087012544274,0.00012099742889404297,9.84996509552002,0.6926281452178955,0.00012445449829101562,9.900053977966309,0.6926310062408447,A_or_C_alignment(needs quality cross-check)
81,9,577,577,False,0.025207053869962692,0.0078047700226306915,-0.017402283847332,6.9765625,8.609375,0.001970052719116211,-0.001927018165588379,0.8629008531570435,0.14087755978107452,0.04708906635642052,0.8609738349914551,0.14764824509620667,0.04986517131328583,0.009729206562042236,4.854957103729248,0.6672794818878174,0.008265793323516846,4.8680548667907715,0.669458270072937,E_within_noise
