config,prompt_id,match_prefix,n,frac
T16_D16,81,128,128,1.0
T16_D16,82,128,128,1.0
T16_D16,83,128,128,1.0
T16_D16,84,128,128,1.0
T16_D16,85,128,128,1.0
T16_D16,86,128,128,1.0
T16_D16,87,128,128,1.0
T16_D16,88,128,128,1.0
T16_D16,89,128,128,1.0
T16_D16,90,87,87,1.0
T4KV16_D4P3,81,4,128,0.0312
T4KV16_D4P3,82,60,128,0.4688
T4KV16_D4P3,83,6,128,0.0469
T4KV16_D4P3,84,11,128,0.0859
T4KV16_D4P3,85,9,128,0.0703
T4KV16_D4P3,86,15,128,0.1172
T4KV16_D4P3,87,26,128,0.2031
T4KV16_D4P3,88,4,128,0.0312
T4KV16_D4P3,89,1,128,0.0078
T4KV16_D4P3,90,64,72,0.8889
T4KV4_D4P3KV4,81,3,128,0.0234
T4KV4_D4P3KV4,82,4,128,0.0312
T4KV4_D4P3KV4,83,1,128,0.0078
T4KV4_D4P3KV4,84,38,128,0.2969
T4KV4_D4P3KV4,85,18,128,0.1406
T4KV4_D4P3KV4,86,21,128,0.1641
T4KV4_D4P3KV4,87,24,128,0.1875
T4KV4_D4P3KV4,88,2,128,0.0156
T4KV4_D4P3KV4,89,1,128,0.0078
T4KV4_D4P3KV4,90,7,91,0.0769
