path	size_bytes	mtime	git_status	file_type	sha256	classification	referenced_by	action	reason	canonical_path
.gitignore	172	1784303412	tracked	noext	-	misc	-	keep	uncertain -> preserve	-
CLAUDE.md	2728	1782983285	tracked	.md	-	misc	-	keep	uncertain -> preserve	-
README.md	3596	1782993845	tracked	.md	-	misc	-	keep	uncertain -> preserve	-
eagle1_generic_qat_pathwise_p3exp_rcal_20260731_154652.tar.gz	13743804	1785516516	untracked	.gz	c99eb1c34284b9905c8e988e02ca38ffbb6573ba3d41bff1ebe6645b8b0f1900	final-bundle	-	keep	research bundle/provenance	-
eagle1_generic_qat_pathwise_p3exp_rcal_20260731_154652.tar.gz.sha256	128	1785516516	untracked	.sha256	41bfc091c68c4eb53165c7b47c3a1eaa60b605cbad848411e083e5a532b33388	final-bundle	-	keep	research bundle/provenance	-
eagle1_generic_qat_pathwise_p3exp_rcal_latest.tar.gz	13743804	1785516516	untracked	.gz	c99eb1c34284b9905c8e988e02ca38ffbb6573ba3d41bff1ebe6645b8b0f1900	duplicate-bundle-copy	name-only strings in scripts/print_*_final_output.py	replace-with-symlink	byte-identical to timestamped canonical (cmp verified)	eagle1_generic_qat_pathwise_p3exp_rcal_20260731_154652.tar.gz
eagle1_learned_rotation_granularity_folding_20260803_133218.tar.gz	3616510	1785751725	untracked	.gz	da61dd8850193fd01e010812967e53ff6c39bd462733b2d119740b70c19c3be7	final-bundle	-	keep	research bundle/provenance	-
eagle1_learned_rotation_granularity_folding_20260803_133218.tar.gz.sha256	133	1785751725	untracked	.sha256	9f32ffbcc577d6ed05b2c846aa6d5f0dd532367c12b7d605e7c3a3689b05a965	final-bundle	-	keep	research bundle/provenance	-
eagle1_learned_rotation_granularity_folding_latest.tar.gz	3616510	1785751725	untracked	.gz	da61dd8850193fd01e010812967e53ff6c39bd462733b2d119740b70c19c3be7	duplicate-bundle-copy	name-only strings in scripts/print_*_final_output.py	replace-with-symlink	byte-identical to timestamped canonical (cmp verified)	eagle1_learned_rotation_granularity_folding_20260803_133218.tar.gz
eagle1_official_fromscratch_ptq_vs_qat_20260724_213243.tar.gz	388081	1785309462	untracked	.gz	e7d5a99e1b30888083612c65e91daef6e4758a0d6ac5720ff49465f5fa61d005	final-bundle	-	keep	research bundle/provenance	-
eagle1_official_fromscratch_ptq_vs_qat_latest.tar.gz	388081	1785309462	untracked	.gz	e7d5a99e1b30888083612c65e91daef6e4758a0d6ac5720ff49465f5fa61d005	duplicate-bundle-copy	name-only strings in scripts/print_*_final_output.py	replace-with-symlink	byte-identical to timestamped canonical (cmp verified)	eagle1_official_fromscratch_ptq_vs_qat_20260724_213243.tar.gz
eagle1_official_fromscratch_review_20260731_140122.tar.gz	63140327	1785474141	untracked	.gz	6f0923157d181c7c1fdeb7bb53ea6a088591568c0c372ebbbdd8d7757eca0e05	final-bundle	-	keep	research bundle/provenance	-
eagle1_official_fromscratch_review_20260731_140122.tar.gz.sha256	161	1785474141	untracked	.sha256	10162c1c502c28eb40a403e6d9a3ca2f7a82a6146adad3766487a685ebbedcb3	final-bundle	-	keep	research bundle/provenance	-
eagle1_rotated_ep3p_projection_20260803_103956.tar.gz	324831173	1785729953	untracked	.gz	224bff2bbd3f5e9dff4a14b62ee29e6dea638881464bcaeefc55074bdb9dde47	final-bundle	-	keep	research bundle/provenance	-
eagle1_rotated_ep3p_projection_20260803_103956.tar.gz.sha256	120	1785729955	untracked	.sha256	34adef6e721cecdccc358fb0192a7052afa34b2e1052905cdf036f28a0301d30	final-bundle	-	keep	research bundle/provenance	-
eagle1_rotated_ep3p_projection_latest.tar.gz	324831173	1785729953	untracked	.gz	224bff2bbd3f5e9dff4a14b62ee29e6dea638881464bcaeefc55074bdb9dde47	duplicate-bundle-copy	name-only strings in scripts/print_*_final_output.py	replace-with-symlink	byte-identical to timestamped canonical (cmp verified)	eagle1_rotated_ep3p_projection_20260803_103956.tar.gz
eagle_learned_rotation_al_sensitivity_20260716_192113.tar.gz	693307	1784208897	untracked	.gz	8fd4ec2778bf8dc74fc857d9d08fbd9973df910a718e4b12ce44c25fcd4a44e5	final-bundle	-	keep	research bundle/provenance	-
