config,group,prompt_id,mean_acceptance,acceptance_list,exact_match
branch_A_fullconcat_W16A4,branch,81,1.4545,"[2, 1, 1, 3, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 3, 2, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 2, 1, 2, 1]",True
branch_A_fullconcat_W16A4,branch,82,1.641,"[2, 2, 1, 1, 2, 2, 1, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 2, 3, 2, 2, 2, 2, 1, 2, 1, 1, 2, 2, 1, 3, 3, 3, 1, 1, 1, 1, 1, 1]",True
branch_A_fullconcat_W16A4,branch,83,1.641,"[2, 2, 1, 3, 3, 2, 1, 2, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 2, 3, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 2, 1, 3, 3, 1, 2, 1]",True
branch_A_fullconcat_W16A4,branch,84,1.641,"[2, 2, 1, 2, 1, 2, 2, 1, 1, 1, 2, 2, 2, 1, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 1, 1, 2, 3, 2, 2]",True
branch_A_fullconcat_W16A4,branch,85,1.3061,"[1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 2, 1]",True
branch_A_fullconcat_W16A4,branch,86,1.4222,"[1, 1, 1, 2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 2, 1, 3, 1, 1, 1, 3, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 2, 2, 1]",True
branch_A_fullconcat_W16A4,branch,87,1.3,"[1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 2, 2, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",True
branch_A_fullconcat_W16A4,branch,88,1.4222,"[1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 3, 1, 2, 2, 2, 3, 1, 1, 2, 2, 1, 1, 1, 3, 1, 2, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1]",True
branch_A_fullconcat_W16A4,branch,89,1.6667,"[2, 3, 3, 3, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 2, 3, 2, 1, 1, 1, 3, 1, 1, 2, 1, 1, 1, 3, 2, 1, 2]",True
branch_A_fullconcat_W16A4,branch,90,1.4884,"[1, 1, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 3, 1, 2, 1, 2, 1, 1, 3, 1, 3, 1]",True
branch_A_fullconcat_W16A4,branch,91,1.4444,"[1, 1, 2, 3, 2, 2, 3, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 3, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 2]",True
branch_A_fullconcat_W16A4,branch,92,1.3617,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 3, 1, 3, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 3, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1]",True
branch_A_fullconcat_W16A4,branch,93,1.625,"[1, 1, 2, 1, 1, 3, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 2, 1, 1, 2, 1, 2, 2]",True
branch_A_fullconcat_W16A4,branch,94,1.4865,"[1, 1, 3, 1, 1, 2, 2, 1, 1, 2, 2, 2, 1, 3, 2, 2, 1, 2, 2, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1]",True
branch_A_fullconcat_W16A4,branch,95,1.4222,"[2, 1, 3, 1, 1, 3, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 2, 1, 1, 2, 1, 1, 2, 2]",True
branch_A_fullconcat_W16A4,branch,96,1.3333,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1]",True
