config,group,prompt_id,mean_acceptance,acceptance_list,exact_match
draft_first__w8a16,draft,81,3.4737,"[3, 6, 1, 4, 6, 5, 5, 4, 4, 2, 3, 4, 4, 1, 3, 4, 2, 2, 3]",True
draft_first__w8a16,draft,82,4.1875,"[4, 4, 3, 4, 4, 4, 6, 6, 6, 2, 5, 6, 4, 2, 3, 4]",True
draft_first__w8a16,draft,83,4.4,"[6, 4, 4, 6, 6, 6, 3, 4, 4, 4, 4, 2, 6, 4, 3]",True
draft_first__w8a16,draft,84,3.35,"[4, 2, 3, 4, 3, 6, 2, 2, 6, 4, 4, 3, 3, 2, 2, 4, 2, 4, 1, 6]",True
draft_first__w8a16,draft,85,2.75,"[1, 5, 3, 2, 3, 3, 6, 2, 1, 1, 5, 3, 4, 2, 3, 3, 2, 1, 3, 2, 2, 3, 2, 4]",True
draft_first__w8a16,draft,86,2.8261,"[1, 5, 6, 6, 4, 4, 3, 2, 1, 2, 3, 3, 1, 2, 4, 3, 2, 1, 4, 3, 2, 1, 2]",True
draft_first__w8a16,draft,87,3.4211,"[3, 4, 5, 3, 5, 6, 3, 4, 6, 3, 3, 3, 2, 4, 2, 2, 1, 2, 4]",True
draft_first__w8a16,draft,88,3.2,"[1, 3, 4, 5, 4, 3, 2, 2, 5, 4, 4, 3, 3, 4, 3, 1, 2, 3, 5, 3]",True
draft_first__w8a16,draft,89,4.3333,"[3, 3, 6, 6, 2, 6, 4, 4, 5, 4, 3, 6, 5, 6, 2]",True
draft_first__w8a16,draft,90,3.5789,"[3, 6, 5, 4, 2, 4, 3, 4, 3, 3, 1, 4, 4, 5, 2, 2, 4, 4, 5]",True
draft_first__w8a16,draft,91,3.1429,"[1, 4, 3, 4, 3, 1, 3, 4, 4, 4, 5, 5, 2, 2, 2, 3, 3, 3, 3, 3, 4]",True
draft_first__w8a16,draft,92,2.56,"[3, 3, 3, 3, 3, 2, 3, 1, 6, 4, 1, 1, 3, 3, 3, 1, 3, 2, 3, 5, 1, 2, 1, 3, 1]",True
draft_first__w8a16,draft,93,3.8824,"[4, 6, 3, 2, 3, 4, 4, 6, 2, 4, 4, 3, 5, 5, 4, 2, 5]",True
draft_first__w8a16,draft,94,3.4375,"[6, 5, 3, 5, 6, 5, 4, 1, 2, 2, 3, 2, 2, 3, 4, 2]",True
draft_first__w8a16,draft,95,3.0476,"[5, 6, 2, 3, 2, 3, 2, 4, 4, 2, 1, 2, 1, 4, 2, 3, 2, 2, 4, 4, 6]",True
draft_first__w8a16,draft,96,3.8824,"[1, 3, 5, 4, 3, 4, 6, 4, 2, 5, 4, 6, 3, 4, 4, 5, 3]",True
draft_first__w8a16,draft,97,3.8235,"[4, 6, 3, 2, 6, 4, 2, 2, 6, 6, 2, 3, 4, 4, 4, 4, 3]",True
draft_first__w8a16,draft,98,2.75,"[3, 2, 1, 3, 2, 1, 2, 2, 5, 4, 5, 2, 1, 2, 4, 5, 2, 3, 2, 1, 3, 4, 3, 4]",True
draft_first__w8a16,draft,99,3.3684,"[1, 2, 3, 4, 4, 2, 1, 2, 6, 6, 2, 5, 4, 6, 6, 3, 3, 2, 2]",True
draft_first__w8a16,draft,100,2.6667,"[1, 2, 1, 2, 2, 4, 3, 3, 4, 4, 2, 2, 2, 4, 3, 1, 3, 5, 3, 5, 1, 2, 2, 3]",True
