config,prompt_id,mean_acceptance,acceptance_list,exact_match
REAL_Q10_targetRealW4A4_draftFP16,81,4.4,"[4, 1, 4, 6, 6, 3, 1, 5, 6, 6, 3, 5, 6, 6, 4]",True
REAL_Q10_targetRealW4A4_draftFP16,82,3.8333,"[2, 1, 5, 1, 4, 4, 5, 2, 4, 4, 1, 5, 6, 5, 4, 4, 6, 6]",True
REAL_Q10_targetRealW4A4_draftFP16,83,3.8824,"[3, 3, 3, 3, 3, 2, 1, 1, 6, 3, 6, 4, 6, 4, 6, 6, 6]",False
REAL_Q10_targetRealW4A4_draftFP16,84,4.2667,"[4, 1, 4, 6, 5, 3, 5, 1, 4, 6, 6, 4, 4, 5, 6]",False
REAL_Q10_targetRealW4A4_draftFP16,85,3.2,"[2, 1, 1, 4, 3, 1, 1, 2, 4, 2, 4, 3, 2, 4, 6, 6, 6, 4, 4, 4]",False
REAL_Q10_targetRealW4A4_draftFP16,86,2.56,"[2, 3, 3, 5, 2, 1, 4, 3, 4, 6, 2, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 2, 6, 1, 4]",False
REAL_Q10_targetRealW4A4_draftFP16,87,3.25,"[3, 3, 6, 2, 6, 5, 1, 1, 2, 1, 1, 4, 4, 5, 5, 4, 1, 1, 4, 6]",False
REAL_Q10_targetRealW4A4_draftFP16,88,2.7826,"[2, 2, 4, 4, 4, 3, 6, 2, 3, 1, 4, 4, 2, 2, 1, 1, 2, 2, 3, 2, 6, 2, 2]",False
REAL_Q10_targetRealW4A4_draftFP16,89,2.5,"[2, 2, 1, 4, 5, 2, 1, 1, 1, 1, 1, 2, 3, 3, 2, 4, 4, 6, 6, 1, 1, 1, 1, 4, 2, 4]",False
REAL_Q10_targetRealW4A4_draftFP16,90,3.6667,"[4, 1, 2, 3, 5, 6, 3, 1, 2, 3, 6, 6, 2, 1, 5, 6, 6, 4]",True
REAL_Q10_targetRealW4A4_draftFP16,91,3.4737,"[2, 4, 3, 4, 4, 3, 4, 3, 6, 4, 3, 4, 1, 1, 1, 4, 6, 6, 3]",False
REAL_Q10_targetRealW4A4_draftFP16,92,3.0455,"[2, 2, 2, 2, 1, 4, 2, 4, 2, 3, 2, 3, 5, 4, 3, 2, 3, 5, 5, 4, 3, 4]",True
REAL_Q10_targetRealW4A4_draftFP16,93,3.5556,"[2, 2, 1, 4, 1, 5, 6, 4, 2, 4, 3, 4, 3, 3, 5, 5, 6, 4]",False
REAL_Q10_targetRealW4A4_draftFP16,94,2.9545,"[2, 2, 1, 3, 3, 2, 1, 5, 4, 3, 4, 4, 4, 2, 2, 4, 2, 4, 2, 3, 4, 4]",False
REAL_Q10_targetRealW4A4_draftFP16,95,2.4074,"[2, 2, 3, 1, 4, 1, 1, 1, 3, 2, 3, 1, 2, 2, 4, 2, 3, 1, 2, 3, 3, 2, 5, 5, 1, 3, 3]",False
REAL_Q10_targetRealW4A4_draftFP16,96,3.2,"[2, 1, 2, 3, 2, 4, 4, 2, 1, 5, 6, 6, 2, 6, 4, 1, 6, 4, 1, 2]",False
