contrast,cell,baseline,n_prompts,al_cell,al_base,diff,ci_lo,ci_hi,verdict
target_effect@D16,T8_D16,T16_D16,20,3.3922,3.4158,-0.0236,-0.0955,0.043,inconclusive
target_effect@D16,T4_D16,T16_D16,20,3.0079,3.4158,-0.4079,-0.5644,-0.2528,different
target_effect@D8,T8_D8,T16_D8,20,3.2425,2.0037,1.2389,1.0782,1.4077,different
target_effect@D8,T4_D8,T16_D8,20,2.6915,2.0037,0.6878,0.5274,0.8404,different
target_effect@D4,T8_D4,T16_D4,20,1.2528,1.0393,0.2135,0.1826,0.245,different
target_effect@D4,T4_D4,T16_D4,20,1.214,1.0393,0.1747,0.1421,0.208,different
draft_effect@T16,T16_D8,T16_D16,20,2.0037,3.4158,-1.4121,-1.5812,-1.2441,different
draft_effect@T16,T16_D4,T16_D16,20,1.0393,3.4158,-2.3765,-2.6318,-2.1319,different
draft_effect@T8,T8_D8,T8_D16,20,3.2425,3.3922,-0.1497,-0.2231,-0.0803,different
draft_effect@T8,T8_D4,T8_D16,20,1.2528,3.3922,-2.1393,-2.3845,-1.9087,different
draft_effect@T4,T4_D8,T4_D16,20,2.6915,3.0079,-0.3164,-0.4894,-0.1654,different
draft_effect@T4,T4_D4,T4_D16,20,1.214,3.0079,-1.7939,-2.0299,-1.5518,different
vs_stock,T16_D4,T16_D16,20,1.0393,3.4158,-2.3765,-2.6293,-2.1321,different
vs_stock,T16_D8,T16_D16,20,2.0037,3.4158,-1.4121,-1.5829,-1.2491,different
vs_stock,T4_D16,T16_D16,20,3.0079,3.4158,-0.4079,-0.5713,-0.2533,different
vs_stock,T4_D4,T16_D16,20,1.214,3.4158,-2.2018,-2.4371,-1.9718,different
vs_stock,T4_D8,T16_D16,20,2.6915,3.4158,-0.7243,-0.9335,-0.5141,different
vs_stock,T8_D16,T16_D16,20,3.3922,3.4158,-0.0236,-0.0961,0.0412,inconclusive
vs_stock,T8_D4,T16_D16,20,1.2528,3.4158,-2.1629,-2.4008,-1.9362,different
vs_stock,T8_D8,T16_D16,20,3.2425,3.4158,-0.1733,-0.2623,-0.0819,different
