config,module,n_forward,covered
Q11_new_targetW4A4_draftW4A4_concat,projection_first_preR,1080,True
Q11_new_targetW4A4_draftW4A4_concat,projection_recurrent_preR,4320,True
Q11_new_targetW4A4_draftW4A4_concat,ar.q_proj,5400,True
Q11_new_targetW4A4_draftW4A4_concat,ar.k_proj,5400,True
Q11_new_targetW4A4_draftW4A4_concat,ar.v_proj,5400,True
Q11_new_targetW4A4_draftW4A4_concat,ar.o_proj,5400,True
Q11_new_targetW4A4_draftW4A4_concat,ar.gate_proj,5400,True
Q11_new_targetW4A4_draftW4A4_concat,ar.up_proj,5400,True
Q11_new_targetW4A4_draftW4A4_concat,ar.down_proj,5400,True
Q11_prevB2_targetW4A4_draftW4A4,ar.q_proj,5595,True
Q11_prevB2_targetW4A4_draftW4A4,ar.k_proj,5595,True
Q11_prevB2_targetW4A4_draftW4A4,ar.v_proj,5595,True
Q11_prevB2_targetW4A4_draftW4A4,ar.o_proj,5595,True
Q11_prevB2_targetW4A4_draftW4A4,ar.gate_proj,5595,True
Q11_prevB2_targetW4A4_draftW4A4,ar.up_proj,5595,True
Q11_prevB2_targetW4A4_draftW4A4,ar.down_proj,5595,True
