absmax_max,absmax_mean,name,p99_max,p99_mean,rms_max,rms_mean
2.078125,0.7758936882019043,Wc_stock,0.60546875,0.30227282643318176,0.21918487548828125,0.10323479026556015
2.078125,0.7747526168823242,Wc_stock_blk1,0.597851574420929,0.38484272360801697,0.23853181302547455,0.14127299189567566
1.140625,0.39362335205078125,Wc_stock_blk8,0.73046875,0.25841209292411804,0.29733559489250183,0.09895740449428558
1.0390625,0.46564340591430664,Wc_stock_blk15,0.554882824420929,0.30832186341285706,0.21614685654640198,0.11817079782485962
0.83984375,0.29827332496643066,Wc_stock_blk22,0.412109375,0.198257178068161,0.15838077664375305,0.07627494633197784
0.703125,0.24096274375915527,Wc_stock_blk29,0.4043945372104645,0.1590109020471573,0.16713692247867584,0.06066426634788513
1.171875,0.5402178764343262,Wc_foldedRT,0.62890625,0.2978375256061554,0.21918393671512604,0.10323461890220642
0.93359375,0.5377259254455566,Wc_foldedRT_blk1,0.6097656488418579,0.36338573694229126,0.23852936923503876,0.1412726640701294
1.171875,0.37607336044311523,Wc_foldedRT_blk8,0.7734375,0.2544843852519989,0.29732322692871094,0.09895728528499603
0.8828125,0.44994544982910156,Wc_foldedRT_blk15,0.566601574420929,0.3038496673107147,0.216155007481575,0.11817070096731186
0.64453125,0.29054832458496094,Wc_foldedRT_blk22,0.41630858182907104,0.19623467326164246,0.15838821232318878,0.07627484947443008
0.66796875,0.23092889785766602,Wc_foldedRT_blk29,0.43769532442092896,0.15604379773139954,0.16713765263557434,0.0606640949845314
0.828125,0.34214067459106445,l0_q_proj,0.3418945372104645,0.22634896636009216,0.12027198076248169,0.0875474363565445
1.2109375,0.3598346710205078,l0_k_proj,0.5433593988418579,0.23092781007289886,0.17938561737537384,0.08869641274213791
0.3359375,0.20183753967285156,l0_v_proj,0.18369141221046448,0.13389228284358978,0.06840279698371887,0.051506560295820236
1.625,0.23117423057556152,l0_o_proj,1.383203148841858,0.14430558681488037,0.6533544063568115,0.054094478487968445
0.4453125,0.2840522825717926,l0_gate_proj,0.279296875,0.1899423599243164,0.11028558760881424,0.0734952837228775
0.498046875,0.27923867106437683,l0_up_proj,0.306640625,0.18611390888690948,0.12021593004465103,0.0717509314417839
2.34375,0.31026554107666016,l0_down_proj,1.2744531631469727,0.18830272555351257,0.41065236926078796,0.07148853689432144
0.4609375,0.20768284797668457,l1_q_proj,0.3497070372104645,0.13980703055858612,0.16908936202526093,0.05488397181034088
1.109375,0.34342193603515625,l1_k_proj,0.4122070372104645,0.20751643180847168,0.14222221076488495,0.07898514717817307
0.37109375,0.2607765197753906,l1_v_proj,0.21586914360523224,0.17429503798484802,0.08074245601892471,0.06724216043949127
1.703125,0.280193567276001,l1_o_proj,1.203515648841858,0.18346571922302246,0.4399374723434448,0.07039165496826172
0.62890625,0.2869744300842285,l1_gate_proj,0.296875,0.19300095736980438,0.11844655126333237,0.07492232322692871
0.59375,0.3090094029903412,l1_up_proj,0.3379882872104645,0.20718669891357422,0.136194109916687,0.0800030454993248
2.078125,0.34621524810791016,l1_down_proj,0.84375,0.2109697312116623,0.3027617931365967,0.08094450831413269
0.91796875,0.3294975757598877,l2_q_proj,0.61328125,0.2221188247203827,0.23383766412734985,0.08593364804983139
0.6640625,0.3238544464111328,l2_k_proj,0.3262695372104645,0.21332821249961853,0.12432017922401428,0.08220861107110977
0.478515625,0.32706642150878906,l2_v_proj,0.2696289122104645,0.21872363984584808,0.09965909272432327,0.08396963030099869
1.625,0.33161067962646484,l2_o_proj,0.871289074420929,0.21916182339191437,0.2983554005622864,0.0843849927186966
0.73828125,0.29863691329956055,l2_gate_proj,0.2754882872104645,0.20099012553691864,0.10528577864170074,0.07804199308156967
0.94140625,0.3208359181880951,l2_up_proj,0.435546875,0.2152249962091446,0.17683552205562592,0.08328131586313248
2.359375,0.36075639724731445,l2_down_proj,0.68359375,0.2172957956790924,0.22722817957401276,0.08325585722923279
0.97265625,0.334653377532959,l3_q_proj,0.60546875,0.22531229257583618,0.24065527319908142,0.0873604565858841
0.6171875,0.3265261650085449,l3_k_proj,0.349609375,0.21578244864940643,0.13667166233062744,0.08343566209077835
0.63671875,0.4173011779785156,l3_v_proj,0.361328125,0.27537089586257935,0.12972114980220795,0.10508506000041962
1.515625,0.38402700424194336,l3_o_proj,1.1796875,0.2523235082626343,0.38342756032943726,0.09669466316699982
0.6953125,0.3008174002170563,l3_gate_proj,0.2657226622104645,0.20256906747817993,0.10337121039628983,0.07864291965961456
0.9765625,0.3223098814487457,l3_up_proj,0.3184570372104645,0.21620126068592072,0.12034109979867935,0.08370236307382584
1.328125,0.35779571533203125,l3_down_proj,0.56640625,0.21815314888954163,0.20077809691429138,0.08421508222818375
1.0234375,0.33632445335388184,l4_q_proj,0.683789074420929,0.22624897956848145,0.2660578191280365,0.08772850036621094
0.58203125,0.3261861801147461,l4_k_proj,0.3086914122104645,0.2146255522966385,0.11903376877307892,0.08297337591648102
0.6875,0.43584442138671875,l4_v_proj,0.3515625,0.28827518224716187,0.12916354835033417,0.11013207584619522
0.8671875,0.4220905303955078,l4_o_proj,0.590039074420929,0.26548779010772705,0.2120882123708725,0.10126181691884995
0.765625,0.2960350513458252,l4_gate_proj,0.291015625,0.19910122454166412,0.11636640876531601,0.07717972993850708
0.78125,0.311178058385849,l4_up_proj,0.31669920682907104,0.20890896022319794,0.11925128847360611,0.08082909882068634
3.515625,0.34577393531799316,l4_down_proj,1.1182031631469727,0.20745313167572021,0.4427580237388611,0.0798042044043541
1.2109375,0.3598346710205078,l0_k_proj_ctxview_RCoff,0.5433593988418579,0.23092781007289886,0.17938561737537384,0.08869641274213791
0.7298872470855713,0.33664485812187195,l0_k_proj_ctxview_RC1,0.4591093063354492,0.22819237411022186,0.17938561737537384,0.08869641274213791
0.8723410964012146,0.3395770788192749,l0_k_proj_ctxview_RCL,0.46457669138908386,0.22823064029216766,0.17938560247421265,0.08869641274213791
