layer,proj,branch,weight_quantizer,n_rows,A_only_nmse,W_only_nmse,AW_nmse,AW_cosine,out_rms_fp,interaction
0,K,ctx_RCoff,mseclip_W,8000,0.07927093654870987,0.007523572538048029,0.08883531391620636,0.9550774693489075,13.590004920959473,0.0020408048294484615
0,K,ctx_RCoff_rtnctl,rtn_W,8000,0.07927093654870987,0.004953893832862377,0.08505287021398544,0.956585168838501,13.590004920959473,0.0008280398324131966
0,K,ctx_RC1,rtn_WRC,8000,0.003256015945225954,0.004252456594258547,0.007585103157907724,0.9962320327758789,13.590008735656738,7.66306184232235e-05
0,K,draft,mseclip_W,8000,0.021406983956694603,0.013373610563576221,0.03482254967093468,0.9827163219451904,5.388461589813232,4.195515066385269e-05
0,V,ctx_RCoff,mseclip_W,8000,0.19105228781700134,0.005726767238229513,0.1969103068113327,0.8979580402374268,4.96897554397583,0.0001312517561018467
0,V,ctx_RCoff_rtnctl,rtn_W,8000,0.19105228781700134,0.01146703027188778,0.20502841472625732,0.8946695327758789,4.96897554397583,0.002509096637368202
0,V,ctx_RC1,rtn_WRC,8000,0.008282295428216457,0.010784146375954151,0.019295983016490936,0.9904993772506714,4.968975067138672,0.00022954121232032776
0,V,draft,mseclip_W,8000,0.02225554548203945,0.012649087235331535,0.034730952233076096,0.982841432094574,3.095499277114868,-0.00017368048429489136
1,K,ctx_RCoff,mseclip_W,8000,0.05856645107269287,0.038031525909900665,0.09924133121967316,0.9565870761871338,14.021105766296387,0.0026433542370796204
1,K,ctx_RCoff_rtnctl,rtn_W,8000,0.05856645107269287,0.004260883666574955,0.06357889622449875,0.9677495956420898,14.021105766296387,0.0007515614852309227
1,K,ctx_RC1,rtn_WRC,8000,0.002462399657815695,0.003201219718903303,0.005722352769225836,0.9971523284912109,14.021099090576172,5.8733392506837845e-05
1,K,draft,mseclip_W,8000,0.21526679396629333,0.003059196751564741,0.22154377400875092,0.9167335033416748,4.467780590057373,0.0032177832908928394
1,V,ctx_RCoff,mseclip_W,8000,0.2246703952550888,0.006446470506489277,0.23091135919094086,0.8820121884346008,5.820716381072998,-0.0002055065706372261
1,V,ctx_RCoff_rtnctl,rtn_W,8000,0.2246703952550888,0.013729151338338852,0.24133768677711487,0.8779895901679993,5.820716381072998,0.00293814018368721
1,V,ctx_RC1,rtn_WRC,8000,0.01006893627345562,0.012905936688184738,0.023239178583025932,0.9886120557785034,5.820716381072998,0.00026430562138557434
1,V,draft,mseclip_W,8000,0.563209056854248,0.03352726623415947,0.5857927799224854,0.6500773429870605,0.7763171792030334,-0.010943543165922165
2,K,ctx_RCoff,mseclip_W,8000,0.08759386837482452,0.010463411919772625,0.09922782331705093,0.949563205242157,11.911120414733887,0.001170543022453785
2,K,ctx_RCoff_rtnctl,rtn_W,8000,0.08759386837482452,0.005144231952726841,0.0936482772231102,0.9521002173423767,11.911120414733887,0.0009101768955588341
2,K,ctx_RC1,rtn_WRC,8000,0.0036737967748194933,0.004691063426434994,0.008444562554359436,0.9958062171936035,11.911118507385254,7.9702353104949e-05
2,K,draft,mseclip_W,8000,0.0364203043282032,0.003469551680609584,0.04031524434685707,0.9796514511108398,7.628860950469971,0.0004253883380442858
2,V,ctx_RCoff,mseclip_W,8000,0.19080981612205505,0.005477730184793472,0.19621677696704865,0.8987929821014404,7.964804649353027,-7.076933979988098e-05
2,V,ctx_RCoff_rtnctl,rtn_W,8000,0.19080981612205505,0.011414716020226479,0.20468813180923462,0.8952110409736633,7.964804649353027,0.002463599666953087
2,V,ctx_RC1,rtn_WRC,8000,0.008388600312173367,0.011055463925004005,0.019638342782855034,0.9903181791305542,7.9648051261901855,0.0001942785456776619
2,V,draft,mseclip_W,8000,0.16174498200416565,0.009811206720769405,0.17099161446094513,0.9211028814315796,3.6178836822509766,-0.0005645742639899254
3,K,ctx_RCoff,mseclip_W,8000,0.08544442057609558,0.0063010999001562595,0.09269675612449646,0.9527188539505005,12.320549964904785,0.0009512356482446194
3,K,ctx_RCoff_rtnctl,rtn_W,8000,0.08544442057609558,0.004939236678183079,0.09135409444570541,0.9532721638679504,12.320549964904785,0.000970437191426754
3,K,ctx_RC1,rtn_WRC,8000,0.0035628590267151594,0.004649214446544647,0.008312693797051907,0.9958616495132446,12.320549011230469,0.00010062032379209995
3,K,draft,mseclip_W,8000,0.09872423112392426,0.00426397705450654,0.10331975668668747,0.9475030899047852,9.524064064025879,0.0003315485082566738
3,V,ctx_RCoff,mseclip_W,8000,0.22357502579689026,0.006881583482027054,0.22990387678146362,0.8842469453811646,9.029701232910156,-0.0005527324974536896
3,V,ctx_RCoff_rtnctl,rtn_W,8000,0.22357502579689026,0.014295347034931183,0.2408120334148407,0.8802951574325562,9.029701232910156,0.0029416605830192566
3,V,ctx_RC1,rtn_WRC,8000,0.010257991030812263,0.013408894650638103,0.023900259286165237,0.9882519841194153,9.02970027923584,0.00023337360471487045
3,V,draft,mseclip_W,8000,0.2684406340122223,0.010507536120712757,0.27773165702819824,0.8697417974472046,7.0596022605896,-0.001216513104736805
