absmax,kurtosis,max_over_rms,mean_abs,name,p999_abs,p99_abs,quantizer,rms,shape,std,w4_cosine,w4_nmse,w4_sat_ratio,w4_zero_code_ratio
2.078125,4.770472049713135,20.102027217040263,0.07828681915998459,Wc_stock,0.4453125,0.302734375,mseclip,0.10337887704372406,4096x20480,0.10337887704372406,1.0122976303100586,0.02246599830687046,0.001887977123260498,0.21598520874977112
2.078125,4.098119258880615,14.661695210905243,0.11029944568872452,Wc_stock_blk1,0.58203125,0.388671875,mseclip,0.1417383849620819,4096x4096,0.1417383849620819,0.9902398586273193,0.019480206072330475,0.002103745937347412,0.18381863832473755
1.140625,3.2036855220794678,11.503511081398644,0.07854786515235901,Wc_stock_blk8,0.34375,0.259765625,mseclip,0.0991545096039772,4096x4096,0.0991545096039772,0.9931050539016724,0.012811577878892422,0.0033573508262634277,0.14955121278762817
1.0390625,3.1229312419891357,8.783934175074016,0.09383279085159302,Wc_stock_blk15,0.40234375,0.310546875,mseclip,0.11829124391078949,4096x4096,0.11829124391078949,0.9936193227767944,0.012720683589577675,0.0033937692642211914,0.1488986611366272
0.83984375,3.103464126586914,11.001204822216746,0.060648445039987564,Wc_stock_blk22,0.2578125,0.19921875,mseclip,0.07634107023477554,4096x4096,0.07634106278419495,0.9926674365997314,0.012571852654218674,0.003455817699432373,0.14705437421798706
0.703125,3.2086777687072754,11.56900303176259,0.04810614138841629,Wc_stock_blk29,0.2099609375,0.16015625,mseclip,0.06077662855386734,4096x4096,0.06077662855386734,0.9944964051246643,0.012889403849840164,0.003386080265045166,0.150457501411438
1.171875,3.995209217071533,11.335749241058938,0.07904452085494995,Wc_foldedRT,0.412109375,0.298828125,mseclip,0.10337869822978973,4096x20480,0.10337869822978973,1.013850212097168,0.01706515997648239,0.0027659176848828793,0.1903092861175537
0.93359375,3.0811288356781006,6.58675424837151,0.11271324008703232,Wc_foldedRT_blk1,0.478515625,0.369140625,mseclip,0.14173805713653564,4096x4096,0.14173805713653564,0.9934484362602234,0.012106532230973244,0.0035645365715026855,0.1430143117904663
1.171875,3.1064724922180176,11.818691753814825,0.07896166294813156,Wc_foldedRT_blk8,0.33203125,0.255859375,mseclip,0.09915437549352646,4096x4096,0.09915436804294586,0.9936175346374512,0.012094395235180855,0.0035743117332458496,0.14279413223266602
0.8828125,3.026613473892212,7.463047458645556,0.09428941458463669,Wc_foldedRT_blk15,0.392578125,0.306640625,mseclip,0.11829115450382233,4096x4096,0.11829115450382233,0.9931586384773254,0.012108330614864826,0.003564596176147461,0.14295005798339844
0.64453125,3.0307421684265137,8.442796631880489,0.060853954404592514,Wc_foldedRT_blk22,0.25390625,0.197265625,mseclip,0.07634096592664719,4096x4096,0.07634097337722778,0.9928538203239441,0.012107874266803265,0.003570258617401123,0.14304685592651367
0.66796875,3.094755172729492,10.990583868785642,0.04840368032455444,Wc_foldedRT_blk29,0.2041015625,0.1572265625,mseclip,0.06077645719051361,4096x4096,0.06077645719051361,0.9938934445381165,0.012113463133573532,0.003569185733795166,0.1428922414779663
0.828125,3.1187918186187744,9.431804757013348,0.06974577903747559,l0_q_proj,0.298828125,0.2294921875,mseclip,0.08780132979154587,4096x4096,0.08780132979154587,0.9944797158241272,0.012517301365733147,0.0034248828887939453,0.1455557942390442
1.2109375,3.549928665161133,13.502155469622549,0.07048143446445465,l0_k_proj,0.33203125,0.240234375,mseclip,0.08968475461006165,1024x4096,0.08968470990657806,0.9932104349136353,0.013588069938123226,0.0032417774200439453,0.1512010097503662
0.3359375,3.4156312942504883,6.437911755078526,0.040945861488580704,l0_v_proj,0.19140625,0.1416015625,mseclip,0.05218112841248512,1024x4096,0.052181124687194824,0.9937009811401367,0.012586000375449657,0.003422260284423828,0.14733052253723145
1.625,23.612110137939453,28.782284885539298,0.04270390421152115,l0_o_proj,0.2265625,0.146484375,mseclip,0.05645833909511566,4096x4096,0.05645833909511566,0.9924896955490112,0.013589822687208652,0.0029761791229248047,0.1587556004524231
0.4453125,3.1321449279785156,6.030051368930131,0.05857373774051666,l0_gate_proj,0.251953125,0.1943359375,mseclip,0.07384887337684631,12288x4096,0.07384885847568512,1.0042258501052856,0.0123498709872365,0.0034690897446125746,0.14473365247249603
0.498046875,3.168254852294922,6.905662166695058,0.057097647339105606,l0_up_proj,0.248046875,0.1904296875,mseclip,0.0721215233206749,12288x4096,0.0721215233206749,1.005052089691162,0.01248583197593689,0.0034483671188354492,0.14631260931491852
2.34375,6.000560760498047,32.50120908546232,0.05662338063120842,l0_down_proj,0.2578125,0.189453125,mseclip,0.07211270183324814,4096x12288,0.07211270183324814,1.0095398426055908,0.013370705768465996,0.003230273723602295,0.15164728462696075
0.4609375,3.517106294631958,8.202973323357948,0.04396026208996773,l1_q_proj,0.2099609375,0.154296875,mseclip,0.05619151517748833,4096x4096,0.05619150772690773,0.9942747950553894,0.01177747268229723,0.0035542845726013184,0.14131182432174683
1.109375,3.868961811065674,13.814138539772877,0.06252200901508331,l1_k_proj,0.310546875,0.2197265625,mseclip,0.08030721545219421,1024x4096,0.08030720800161362,0.9922258853912354,0.01537531428039074,0.003064393997192383,0.1609351634979248
0.37109375,3.1266674995422363,5.502340248023869,0.05350051820278168,l1_v_proj,0.23046875,0.1767578125,mseclip,0.0674428939819336,1024x4096,0.0674428716301918,0.9936270713806152,0.012402457185089588,0.003536701202392578,0.14625048637390137
1.703125,5.607553482055664,23.964755315077003,0.05596024915575981,l1_o_proj,0.25390625,0.1845703125,mseclip,0.07106790691614151,4096x4096,0.07106789946556091,0.9926998615264893,0.012879304587841034,0.0033149123191833496,0.1480565071105957
