target,prompt_idx,round,fp_accept,q_accept,accept_delta,recheck_accept,recheck_accept_delta,recheck_top1_same_fp,accept_delta_vs_recheck,fp_q_top1_same,q_top1_in_tree,fp_top1_in_tree,entropy_delta,margin_delta,top1_prob_delta,kl_fp_q,tv,tree_mass_fp,tree_mass_q,tree_mass_delta,ce_delta,category
W8A8,0,0,2,2,0,2,0,True,0,True,True,True,-0.1018,-0.0312,0.0267,0.0081,0.0337,0.8941,0.9004,0.0063,0.0026,UNCHANGED
W8A8,0,1,5,5,0,5,0,True,0,True,True,True,0.0052,-0.3438,-0.0008,0.0001,0.0008,0.9995,0.9994,-0.0001,0.0026,UNCHANGED
W8A8,0,2,0,0,0,0,0,True,0,True,False,False,0.0709,-0.3125,-0.026,0.0035,0.0261,0.1014,0.127,0.0256,0.0026,UNCHANGED
W8A8,0,3,3,3,0,3,0,True,0,True,True,True,-0.0,0.1172,0.0,0.0,0.0,1.0,1.0,0.0,0.0026,UNCHANGED
W8A8,0,4,5,5,0,5,0,True,0,True,True,True,0.0,-0.125,-0.0,0.0,0.0,1.0,1.0,-0.0,0.0026,UNCHANGED
W8A8,0,5,4,4,0,4,0,True,0,True,True,True,-0.0012,0.375,0.0002,0.0,0.0002,1.0,1.0,0.0,0.0026,UNCHANGED
W8A8,0,6,4,4,0,4,0,True,0,True,True,True,-0.0197,0.1094,0.0064,0.0004,0.0072,1.0,1.0,0.0,0.0026,UNCHANGED
W8A8,0,7,3,3,0,3,0,True,0,True,True,True,-0.0025,0.1875,0.0004,0.0,0.0004,1.0,1.0,0.0,0.0026,UNCHANGED
W8A8,0,8,3,3,0,3,0,True,0,True,True,True,0.0,-0.125,-0.0,0.0,0.0,1.0,1.0,-0.0,0.0026,UNCHANGED
W8A8,0,9,2,2,0,2,0,True,0,True,True,True,0.0005,0.0156,0.0001,0.0,0.0003,0.9991,0.9989,-0.0002,0.0026,UNCHANGED
W8A8,0,10,1,1,0,1,0,True,0,True,True,True,0.0,0.0625,-0.0,0.0,0.0,1.0,1.0,-0.0,0.0026,UNCHANGED
W8A8,0,11,3,3,0,3,0,True,0,True,True,True,0.0,-0.0781,0.0,-0.0,0.0,1.0,1.0,0.0,0.0026,UNCHANGED
W8A8,0,12,3,3,0,3,0,True,0,True,True,True,0.0,-0.0781,-0.0,0.0,0.0,1.0,1.0,0.0,0.0026,UNCHANGED
W8A8,0,13,0,0,0,0,0,True,0,True,False,False,0.0298,-0.0781,-0.0201,0.0009,0.0201,0.0087,0.0092,0.0006,0.0026,UNCHANGED
W8A8,0,14,2,2,0,2,0,True,0,True,True,True,0.0032,-0.0938,-0.0025,0.0004,0.0044,0.9988,0.9989,0.0001,0.0026,UNCHANGED
W8A8,0,15,3,3,0,3,0,True,0,True,True,True,0.0,-0.0156,-0.0,0.0,0.0,1.0,1.0,-0.0,0.0026,UNCHANGED
W8A8,1,0,3,3,0,3,0,True,0,True,True,True,0.0104,-0.0469,-0.0097,0.0002,0.0097,0.9983,0.9982,-0.0001,0.0026,UNCHANGED
W8A8,1,1,3,3,0,3,0,True,0,True,True,True,-0.0,0.0469,0.0,-0.0,0.0,1.0,1.0,0.0,0.0026,UNCHANGED
W8A8,1,2,2,2,0,2,0,True,0,True,True,True,0.0,-0.0938,-0.0,-0.0,0.0,1.0,1.0,-0.0,0.0026,UNCHANGED
W8A8,1,3,3,3,0,3,0,True,0,True,True,True,0.0,-0.2031,-0.0,0.0,0.0,1.0,1.0,-0.0,0.0026,UNCHANGED
W8A8,1,4,5,5,0,5,0,True,0,True,True,True,0.0,-0.0781,0.0,-0.0,0.0,1.0,1.0,0.0,0.0026,UNCHANGED
W8A8,1,5,3,3,0,3,0,True,0,True,True,True,0.0009,-0.1406,-0.0001,0.0,0.0001,0.9992,0.999,-0.0001,0.0026,UNCHANGED
W8A8,1,6,5,5,0,5,0,True,0,True,True,True,0.0,0.0312,0.0,0.0,0.0,1.0,1.0,0.0,0.0026,UNCHANGED
W8A8,1,7,5,5,0,5,0,True,0,True,True,True,0.0001,-0.1094,-0.0,0.0,0.0,1.0,1.0,0.0,0.0026,UNCHANGED
W8A8,1,8,5,5,0,5,0,True,0,True,True,True,0.0,-0.0781,0.0,-0.0,0.0,1.0,1.0,0.0,0.0026,UNCHANGED
W8A8,1,9,4,4,0,4,0,True,0,True,True,True,0.0,-0.0781,-0.0,-0.0,0.0,1.0,1.0,-0.0,0.0026,UNCHANGED
W8A8,1,10,5,5,0,5,0,True,0,True,True,True,-0.0,0.0156,0.0,-0.0,0.0,1.0,1.0,0.0,0.0026,UNCHANGED
W8A8,1,11,3,3,0,3,0,True,0,True,True,True,-0.0135,0.0625,0.01,0.0003,0.0101,0.7927,0.8027,0.01,0.0026,UNCHANGED
W8A8,1,12,1,1,0,1,0,True,0,True,True,True,-0.0165,0.1875,0.0124,0.0026,0.0196,0.9711,0.9642,-0.0069,0.0026,UNCHANGED
W8A8,1,13,2,2,0,2,0,True,0,True,True,True,-0.0045,0.25,0.0008,0.0001,0.0008,0.9999,0.9999,0.0,0.0026,UNCHANGED
W8A8,1,14,2,2,0,2,0,True,0,True,True,True,0.0115,-0.2031,-0.0023,0.0002,0.0024,0.9987,0.9987,0.0001,0.0026,UNCHANGED
W8A8,2,0,5,5,0,5,0,True,0,True,True,True,0.0231,-0.1094,-0.0115,0.0007,0.0123,0.9973,0.9973,-0.0,0.0026,UNCHANGED
W8A8,2,1,3,3,0,3,0,True,0,True,True,True,-0.0,0.0469,0.0,-0.0,0.0,1.0,1.0,0.0,0.0026,UNCHANGED
W8A8,2,2,3,3,0,3,0,True,0,True,True,True,-0.0,0.125,0.0,0.0,0.0,1.0,1.0,0.0,0.0026,UNCHANGED
W8A8,2,3,5,5,0,5,0,True,0,True,True,True,-0.0,0.0469,0.0,-0.0,0.0,1.0,1.0,0.0,0.0026,UNCHANGED
W8A8,2,4,5,5,0,5,0,True,0,True,True,True,-0.0001,0.0312,0.0,0.0,0.0,1.0,1.0,0.0,0.0026,UNCHANGED
W8A8,2,5,5,5,0,5,0,True,0,True,True,True,-0.0002,0.0938,0.0,0.0,0.0,1.0,1.0,-0.0,0.0026,UNCHANGED
W8A8,2,6,2,2,0,2,0,True,0,True,True,True,0.0001,-0.0156,-0.0,0.0,0.0,1.0,1.0,-0.0,0.0026,UNCHANGED
W8A8,2,7,3,3,0,3,0,True,0,True,True,True,-0.0,0.0,0.0,0.0,0.0,0.9997,0.9997,0.0,0.0026,UNCHANGED
