dataset,condition,layer,kind,nmse,max_abs_err,n_elems
humaneval,QOFF,0,kctx,0.3921906756030177,8.216973304748535,12696576
humaneval,QOFF,0,vctx,0.6629236875968904,28.235502243041992,12696576
humaneval,QOFF,0,kdr,0.010255968876835745,1.2214982509613037,819200
humaneval,QOFF,0,vdr,0.04803843441424147,3.4138526916503906,819200
humaneval,QOFF,1,kctx,0.22696437600000216,12.085100173950195,12696576
humaneval,QOFF,1,vctx,0.7045703631623814,34.75701904296875,12696576
humaneval,QOFF,1,kdr,0.07065218129471525,8.293094635009766,819200
humaneval,QOFF,1,vdr,0.7569116120620368,26.083608627319336,819200
humaneval,QOFF,2,kctx,0.40780339365302587,9.19959545135498,12696576
humaneval,QOFF,2,vctx,0.6390918343647848,45.12754440307617,12696576
humaneval,QOFF,2,kdr,0.37180618447208025,8.538280487060547,819200
humaneval,QOFF,2,vdr,0.9634610811126103,55.342689514160156,819200
humaneval,QOFF,3,kctx,0.3485460264447105,10.272197723388672,12696576
humaneval,QOFF,3,vctx,0.660200205653225,49.743934631347656,12696576
humaneval,QOFF,3,kdr,0.3287730523431151,6.906647682189941,819200
humaneval,QOFF,3,vdr,1.0344602338330309,82.02363586425781,819200
humaneval,QOFF,4,kctx,0.3478649982535234,9.25163459777832,12696576
humaneval,QOFF,4,vctx,0.8097765510528118,47.71617889404297,12696576
humaneval,QOFF,4,kdr,0.4356630894633819,9.676121711730957,819200
humaneval,QOFF,4,vdr,1.2259380242692153,71.09612274169922,819200
humaneval,QON,0,kctx,0.1966661868513837,7.9845685958862305,12696576
humaneval,QON,0,vctx,0.428535804007417,31.349525451660156,12696576
humaneval,QON,0,kdr,0.010255968876835745,1.2214982509613037,819200
humaneval,QON,0,vdr,0.04803843441424147,3.4138526916503906,819200
humaneval,QON,1,kctx,0.12367811279681387,10.132987022399902,12696576
humaneval,QON,1,vctx,0.5191849279741685,33.02208709716797,12696576
humaneval,QON,1,kdr,0.02418293693758883,3.425598621368408,819200
humaneval,QON,1,vdr,0.40316556678748683,21.191879272460938,819200
humaneval,QON,2,kctx,0.2440556292380558,8.887359619140625,12696576
humaneval,QON,2,vctx,0.43151181350564055,41.295928955078125,12696576
humaneval,QON,2,kdr,0.17783989474825254,5.8344902992248535,819200
humaneval,QON,2,vdr,0.5666320831856418,47.21551513671875,819200
humaneval,QON,3,kctx,0.2052554533923933,10.331100463867188,12696576
humaneval,QON,3,vctx,0.3975769638845865,45.27080535888672,12696576
humaneval,QON,3,kdr,0.15036160097682358,6.0344977378845215,819200
humaneval,QON,3,vdr,0.6201133344256623,64.22553253173828,819200
humaneval,QON,4,kctx,0.20593156535243365,9.479236602783203,12696576
humaneval,QON,4,vctx,0.5556434636757815,48.053226470947266,12696576
humaneval,QON,4,kdr,0.2103940046499087,8.03175163269043,819200
humaneval,QON,4,vdr,0.8258374927244372,67.84318542480469,819200
