dataset,condition,layer,kind,nmse,max_abs_err,n_elems
mtbench,QOFF,0,kctx,0.40811636707443183,12.088836669921875,47764480
mtbench,QOFF,0,vctx,0.6772680503639412,33.041587829589844,47764480
mtbench,QOFF,0,kdr,0.010387108142922073,1.2235116958618164,1638400
mtbench,QOFF,0,vdr,0.047067711497611624,3.4970569610595703,1638400
mtbench,QOFF,1,kctx,0.15998957984319892,12.2957124710083,47764480
mtbench,QOFF,1,vctx,0.7080309992506701,55.301124572753906,47764480
mtbench,QOFF,1,kdr,0.06490131372193463,10.171710014343262,1638400
mtbench,QOFF,1,vdr,0.7310660371362059,33.51470947265625,1638400
mtbench,QOFF,2,kctx,0.42054530922729483,10.744036674499512,47764480
mtbench,QOFF,2,vctx,0.6630793781477877,46.8689079284668,47764480
mtbench,QOFF,2,kdr,0.32059485287851835,7.874353885650635,1638400
mtbench,QOFF,2,vdr,0.9238528331379341,57.040985107421875,1638400
mtbench,QOFF,3,kctx,0.38703142036660326,10.272199630737305,47764480
mtbench,QOFF,3,vctx,0.6849822713519352,56.045074462890625,47764480
mtbench,QOFF,3,kdr,0.28193571418861185,7.402609825134277,1638400
mtbench,QOFF,3,vdr,1.0010648824720108,85.01908874511719,1638400
mtbench,QOFF,4,kctx,0.39156889284099494,10.833005905151367,47764480
mtbench,QOFF,4,vctx,0.798286367945975,56.2240104675293,47764480
mtbench,QOFF,4,kdr,0.3804795199714434,9.581174850463867,1638400
mtbench,QOFF,4,vdr,1.2138319731675589,72.55057525634766,1638400
mtbench,QON,0,kctx,0.14039354625530376,10.34915542602539,47764480
mtbench,QON,0,vctx,0.3178369386463429,32.88720703125,47764480
mtbench,QON,0,kdr,0.010387108142922073,1.2235116958618164,1638400
mtbench,QON,0,vdr,0.047067711497611624,3.4970569610595703,1638400
mtbench,QON,1,kctx,0.07376711555233961,10.1400146484375,47764480
mtbench,QON,1,vctx,0.37876036174568367,38.25927734375,47764480
mtbench,QON,1,kdr,0.02255824613039974,4.38029670715332,1638400
mtbench,QON,1,vdr,0.3658804580585557,21.26447296142578,1638400
mtbench,QON,2,kctx,0.18475934592671714,9.338716506958008,47764480
mtbench,QON,2,vctx,0.307580666353097,46.862613677978516,47764480
mtbench,QON,2,kdr,0.1624261772849362,6.207109451293945,1638400
mtbench,QON,2,vdr,0.5310798137946907,51.47045135498047,1638400
mtbench,QON,3,kctx,0.15681478894386103,10.737994194030762,47764480
mtbench,QON,3,vctx,0.30146537415960384,47.753326416015625,47764480
mtbench,QON,3,kdr,0.13637875336554092,5.897377967834473,1638400
mtbench,QON,3,vdr,0.5990403808177404,72.275390625,1638400
mtbench,QON,4,kctx,0.15662210020484119,10.724923133850098,47764480
mtbench,QON,4,vctx,0.42453849903883917,48.65776443481445,47764480
mtbench,QON,4,kdr,0.19918746394841416,8.095317840576172,1638400
mtbench,QON,4,vdr,0.8089525220922743,60.76801300048828,1638400
