stage,tensor,condition,dataset,layer,rms,absmax,p99,p99_9,kurtosis,top01pct_energy,a4_nmse,w4_nmse,kv4_nmse,sqnr
A,A_before_R1,no_R1T,mtbench,-1,0.5817954861901841,326.0366516113281,,,173045.6510467146,0.7087243581825753,0.4874593913555145,NA,,3.12
A,A_after_R1,R1T,mtbench,-1,0.5817954649838735,26.75,,,347.6418940435883,0.006606020898308222,0.05065897852182388,NA,,12.95
C,C_Ht_preRC,QON_preRC,mtbench,-1,0.9999999833741091,35.97090530395508,,,225.68907523880074,0.36511507633474277,0.4911474883556366,NA,,3.09
C,C_Ht_postRC,QON_postRC,mtbench,-1,1.0000000124419055,5.210968017578125,,,2.8913194613228583,0.0031117951168669554,0.017986856400966644,NA,,17.45
C,C_Ht_FP,FP,mtbench,-1,0.9999999762858693,38.49864196777344,,,322.3914740148236,0.4336495485228568,,NA,,
D,D_kctx,FP,mtbench,0,1.4569533234419751,16.59210968017578,,,10.475922606476999,0.04376151859196884,,NA,0.020390434190630913,
D,D_vctx,FP,mtbench,0,4.980375864178048,39.99641799926758,,,3.687347153668874,0.00380615505486398,,NA,0.010369980707764626,
D,D_kdr,FP,mtbench,0,1.2405644441940227,8.370637893676758,,,4.582056071707764,0.024096079405124194,,NA,,
D,D_vdr,FP,mtbench,0,3.091388648155425,18.280452728271484,,,3.5418692374266385,0.003435116958916051,,NA,,
D,D_kctx,FP,mtbench,1,1.4802194418215369,15.599725723266602,,,5.553618814759024,0.00807358170255129,,NA,0.015092981047928333,
D,D_vctx,FP,mtbench,1,5.798484384378925,81.12334442138672,,,3.7602963024091696,0.005645162248143394,,NA,0.010316590778529644,
D,D_kdr,FP,mtbench,1,1.56592336881003,9.591597557067871,,,5.264356013397939,0.011659701243365371,,NA,,
D,D_vdr,FP,mtbench,1,3.7814017658407373,32.92424011230469,,,5.770167113709756,0.006494386255647174,,NA,,
D,D_kctx,FP,mtbench,2,1.7266674730135458,11.45571231842041,,,4.196272101783556,0.005800693166692115,,NA,0.012812036089599133,
D,D_vctx,FP,mtbench,2,7.999764364972565,58.52406692504883,,,3.641414119621426,0.001894532095348997,,NA,0.010127938352525234,
D,D_kdr,FP,mtbench,2,1.6128454348860501,9.287067413330078,,,3.4099909777761575,0.009891962654720442,,NA,,
D,D_vdr,FP,mtbench,2,7.153430335741429,54.812286376953125,,,4.499749837334755,0.004414641187383554,,NA,,
D,D_kctx,FP,mtbench,3,1.739195730972243,11.80599308013916,,,4.354102390546137,0.008684983531644432,,NA,0.013334861025214195,
D,D_vctx,FP,mtbench,3,8.64860237802545,81.26258850097656,,,4.704760995445794,0.0019793160698208293,,NA,0.010120359249413013,
D,D_kdr,FP,mtbench,3,1.6747731780169501,7.9946699142456055,,,3.6752752910822726,0.0118026651611083,,NA,,
D,D_vdr,FP,mtbench,3,10.404890947344693,70.32567596435547,,,4.139789250694636,0.004790693680441188,,NA,,
D,D_kctx,FP,mtbench,4,1.8456799446614314,11.577923774719238,,,3.9712701186117174,0.00709174348302583,,NA,0.012457401491701603,
D,D_vctx,FP,mtbench,4,7.8684926964892625,76.00296783447266,,,4.6853671042244285,0.002224008553067412,,NA,0.010108656249940395,
D,D_kdr,FP,mtbench,4,1.7880727587612633,8.685995101928711,,,3.528669931473644,0.011041009874210238,,NA,,
D,D_vdr,FP,mtbench,4,7.067876829783049,65.75464630126953,,,5.067435946360637,0.0034130428869811303,,NA,,
D,D_kctx,QOFF,mtbench,0,1.5024627443655214,17.518779754638672,,,14.234285265044988,0.05197340519345091,,NA,,
