dataset,condition,layer,kind,nmse,max_abs_err,n_elems
gsm8k,QOFF,0,kctx,0.40601114056448334,8.892511367797852,9578496
gsm8k,QOFF,0,vctx,0.683586289042295,38.405242919921875,9578496
gsm8k,QOFF,0,kdr,0.008449384852055953,0.9065654277801514,819200
gsm8k,QOFF,0,vdr,0.04384898554120732,3.5302114486694336,819200
gsm8k,QOFF,1,kctx,0.26663686780018325,12.158275604248047,9578496
gsm8k,QOFF,1,vctx,0.7220545550165306,34.39913558959961,9578496
gsm8k,QOFF,1,kdr,0.047249693703061243,5.557069301605225,819200
gsm8k,QOFF,1,vdr,0.7201338604652271,29.32312774658203,819200
gsm8k,QOFF,2,kctx,0.42326358174425066,9.199596405029297,9578496
gsm8k,QOFF,2,vctx,0.641183559634088,46.81951141357422,9578496
gsm8k,QOFF,2,kdr,0.30161421254160453,8.66026496887207,819200
gsm8k,QOFF,2,vdr,0.9227034519635262,54.667293548583984,819200
gsm8k,QOFF,3,kctx,0.3516984390640608,10.271774291992188,9578496
gsm8k,QOFF,3,vctx,0.6530793934038314,44.46717834472656,9578496
gsm8k,QOFF,3,kdr,0.2685061145872754,7.073657035827637,819200
gsm8k,QOFF,3,vdr,0.9975653125675544,89.51521301269531,819200
gsm8k,QOFF,4,kctx,0.3509414362169899,10.922825813293457,9578496
gsm8k,QOFF,4,vctx,0.8086569189593634,52.299774169921875,9578496
gsm8k,QOFF,4,kdr,0.3529762805462733,9.596334457397461,819200
gsm8k,QOFF,4,vdr,1.1898085897179864,74.88011932373047,819200
gsm8k,QON,0,kctx,0.2008741750091134,7.76483154296875,9578496
gsm8k,QON,0,vctx,0.4329830833575192,36.34380340576172,9578496
gsm8k,QON,0,kdr,0.008449384852055953,0.9065654277801514,819200
gsm8k,QON,0,vdr,0.04384898554120732,3.5302114486694336,819200
gsm8k,QON,1,kctx,0.14578408175266513,10.1400146484375,9578496
gsm8k,QON,1,vctx,0.5474007122363489,38.02460479736328,9578496
gsm8k,QON,1,kdr,0.021853237115905307,3.1347227096557617,819200
gsm8k,QON,1,vdr,0.3758293354028824,20.262313842773438,819200
gsm8k,QON,2,kctx,0.2633506984611655,8.29178524017334,9578496
gsm8k,QON,2,vctx,0.43954804548557663,41.33888244628906,9578496
gsm8k,QON,2,kdr,0.15548352505914756,5.760709762573242,819200
gsm8k,QON,2,vdr,0.5287016762046178,44.282493591308594,819200
gsm8k,QON,3,kctx,0.2172379080987357,10.355226516723633,9578496
gsm8k,QON,3,vctx,0.3916988918555337,43.27906799316406,9578496
gsm8k,QON,3,kdr,0.13208736493180465,5.331727981567383,819200
gsm8k,QON,3,vdr,0.5898078098808124,68.66905212402344,819200
gsm8k,QON,4,kctx,0.21514182010401503,10.724282264709473,9578496
gsm8k,QON,4,vctx,0.5587151081442778,47.4407958984375,9578496
gsm8k,QON,4,kdr,0.18745869813797897,7.1511993408203125,819200
gsm8k,QON,4,vdr,0.7794621017841535,50.96045684814453,819200
