arm,seed,mode,rbin,wikitext2_ppl,fp_equiv
T-PPL0_fp16,s1,fp16,,7.4368,ref
T-PPL0_fp16,s0,fp16,,7.4368,ref
T-PPL1_rtn_norot,s1,w4a4_norot,,189.9237,
T-PPL1_rtn_norot,s0,w4a4_norot,,189.9237,
T-PPL2_hadamard,s1,w4a4,/home/thahn1230/dflash_workspace/outputs/rotations/llama31_hadamard/R.bin,10.8898,
T-PPL2_hadamard,s0,w4a4,/home/thahn1230/dflash_workspace/outputs/rotations/llama31_hadamard/R.bin,10.8898,
T-PPL3_R1only,s1,w4a4,/home/thahn1230/dflash_workspace/outputs/rotations/llama31_w4a4kv16_s1/R1only.bin,10.1688,
T-PPL3_R1only,s0,w4a4,/home/thahn1230/dflash_workspace/outputs/rotations/llama31_w4a4kv16_s0/R1only.bin,10.6793,
T-PPL4_R1R2,s1,w4a4,/home/thahn1230/dflash_workspace/outputs/rotations/llama31_w4a4kv16_s1/R.bin,8.7961,argmax_agree=0.9766;logit_maxabs=1.344
T-PPL4_R1R2,s0,w4a4,/home/thahn1230/dflash_workspace/outputs/rotations/llama31_w4a4kv16_s0/R.bin,8.8543,argmax_agree=0.9688;logit_maxabs=1.000
T-PPL0_fp16,s0,fp16,,7.4368,ref
T-PPL1_rtn_norot,s0,w4a4_norot,,189.9237,
T-PPL0_fp16,s1,fp16,,7.4368,ref
T-PPL0_fp16,s2,fp16,,7.4368,ref
T-PPL1_rtn_norot,s2,w4a4_norot,,189.9237,
T-PPL2_hadamard,s2,w4a4,/home/thahn1230/dflash_workspace/outputs/rotations/llama31_hadamard/R.bin,10.8898,
T-PPL3_R1only,s2,w4a4,/home/thahn1230/dflash_workspace/outputs/rotations/llama31_w4a4kv16_s2/R1only.bin,10.3309,
T-PPL4_R1R2,s2,w4a4,/home/thahn1230/dflash_workspace/outputs/rotations/llama31_w4a4kv16_s2/R.bin,8.7897,argmax_agree=0.9609;logit_maxabs=1.188
