hook,rel_l2,max_abs
final_norm,0.47963,3.4458
layer00,0.025104,0.00848
layer01,0.005583,0.4375
layer02,0.006197,0.4375
layer03,0.007515,0.4375
layer04,0.00922,0.46875
layer05,0.011336,0.46875
layer06,0.013836,0.46875
layer07,0.017067,0.46875
layer08,0.020682,0.46875
layer09,0.024281,0.46875
layer10,0.02777,0.52039
layer11,0.030697,0.58521
layer12,0.034086,0.72437
layer13,0.037094,0.68909
layer14,0.04072,0.70044
layer15,0.044502,0.80347
layer16,0.050159,0.94739
layer17,0.054708,1.09558
layer18,0.060819,1.06592
layer19,0.067884,1.17676
layer20,0.076003,1.44385
layer21,0.084712,1.68262
layer22,0.094924,1.77661
layer23,0.103916,2.08789
layer24,0.113568,2.14551
layer25,0.123731,2.33984
layer26,0.135504,2.75537
layer27,0.146951,3.06445
layer28,0.159812,2.95923
layer29,0.175749,3.17578
layer30,0.45006,4.84375
layer31,0.469013,6.76025
logits,0.467488,11.24707
